galaxy,a_single,a_in,a_out,r_in,between
NGC0024,1.5471089627472967,1.0297684505333717,10.757988422526534,1.502385280832761,1.0
NGC0247,3.1561028726436877,1.789703536342546,13.902485176817125,1.7634780334029665,1.0
NGC0289,9.85419117086202,2.551652178619849,24.553892857024408,3.8618865272585885,1.0
NGC2403,3.705782066885957,0.4901050212430283,5.919595717272125,7.561199959729389,1.0
NGC1003,9.33640579425743,3.27928974274047,28.891964487136388,2.847081693505707,1.0
NGC1090,7.163803249341792,4.759042034417905,28.82345210171462,1.5053036299180371,1.0
NGC2841,6.048480452590739,3.515277877412201,60.63376389387013,1.7206265517317723,1.0
NGC0801,12.669263435834019,1.9600000000000002,56.92699999999999,6.463909916241845,1.0
NGC3726,12.759527106664658,5.4453281744726745,31.166266407018785,2.3432062674349816,1.0
NGC2998,9.835271221150792,0.5968257329727618,14.627171770339126,16.479301541107745,1.0
NGC3521,5.665764742609312,0.5100000000003905,11.946354189343182,11.109342632558773,1.0
NGC3198,6.696269253205786,5.540126565936392,42.15300632829681,1.2086852481634565,1.0
NGC4013,11.009731787967896,5.490000000000001,29.733999999999988,2.00541562622366,1.0
NGC3741,2.7034964837032525,0.41968243726700716,4.264072099887383,6.441767021056577,1.0
NGC5371,4.415260900939564,1.4500000000000002,44.000499999999995,3.045007517889354,1.0
NGC6015,3.000372749181363,1.4656922978333464,19.257515900427975,2.047068647093699,1.0
NGC6195,23.09197813400526,2.3400000000000003,34.7255,9.868366723933871,1.0
NGC5585,4.483990157304956,0.09000000000000004,4.90687327601273,49.82211285894394,1.0
NGC5985,4.242461158939146,3.5400000000000005,33.160999999999994,1.198435355632527,1.0
NGC5907,7.443288653874622,5.030000000000001,48.06499999999953,1.4797790564363063,1.0
UGC02259,1.599658209930312,1.0200000000000002,7.784,1.5682923626767762,1.0
NGC6674,10.955838665334484,2.5000000000000004,68.91449999999999,4.382335466133793,1.0
UGC00731,2.3568266137800618,1.0748589897290781,4.078108750347932,2.1926844695917813,1.0
UGC00128,8.257132468408193,3.9776177811601734,21.075753896655026,2.0758989230985865,1.0
UGC05253,9.095506825020674,0.13398281019561387,9.489482720014788,67.88562511669448,1.0
UGC02885,18.080054454566962,1.7000000000000002,33.59255011427686,10.635326149745271,1.0
NGC6503,4.50226718787486,3.3209494114704303,22.491047470573513,1.3557168839501752,1.0
UGC05716,3.1767563952575837,1.0300000000000002,4.8343114540315755,3.0842295099588184,1.0
UGC06787,7.041692947946711,4.223191663826486,35.54165958319132,1.6673865428040933,1.0
UGC02953,6.560201632844758,4.987719643876483,59.51988598219184,1.3152707251496865,1.0
UGC06786,5.7941256846446985,2.1020425422612696,11.264824873815067,2.7564264605280897,1.0
UGC07399,1.5284799234819761,1.0959518927568255,5.87829759463784,1.3946596867834615,1.0
UGC09133,13.141321148473942,8.530885820977584,64.2147659779651,1.5404403978962213,1.0
UGC08286,1.7864701678988353,1.3437131446593664,7.705185657232967,1.3295026360345001,1.0
UGC08699,3.818615858083216,1.877035005031902,15.12953554084703,2.0343871306855648,1.0
UGC08550,1.3060818179281344,0.8664880565815084,5.023638142066196,1.5073281253072581,1.0
UGC12506,5.46816550151831,1.028230829344254,9.968821158365667,5.318033018914235,1.0
UGC11914,1.3891578799124564,0.47000000000000003,9.361999999999998,2.955655063643524,1.0
UGC08490,1.4014736745999743,0.6150035813338066,2.925332254321005,2.2788057129041235,1.0
UGC11455,13.367140041346833,8.037835526877304,40.235391776343086,1.6630273158301314,1.0
UGC03205,4.583007876853524,1.7147913780283375,26.163766557970447,2.672632913586873,1.0
