galaxy,n,N_best,bic1,bic2,margin,chi2gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
DDO170,8,1,14.271775322022922,16.208909897524606,1.937134575501684,2.22174850785799,DDO170,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",271500000.0,68.39999999999999,57252999946.52294,8.433769833924865,10.757798247799466,2.324028413874601
ESO563-G021,27,1,174.66265903342594,181.25438546685825,6.591726433432314,-5.270142364111052e-05,ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,155588500000.0,358.644,8253167351802.295,11.191977493867602,12.91662065151034,1.7246431576427366
KK98-251,15,1,9.449531626642752,14.865632028847301,5.416100402204549,-1.2789769243681803e-13,KK98-251,10,6.8,2.04,1,59.0,5.0,0.085,0.007,1.28,7.89,1.34,52.1,0.115,2.9,33.7,1.6,2,BC04,42500000.0,38.418,10144582988.251328,7.628388930050312,10.00623419926255,2.377845269212239
D631-7,15,1,13.165645730135012,18.58174613233964,5.416100402204627,-2.078337502098293e-13,D631-7,10,7.72,0.18,2,59.0,3.0,0.196,0.009,1.22,20.93,0.7,115.04,0.29,0.0,57.7,2.7,1,"Tr09,dB01",98000000.0,65.77799999999999,50918070273.50026,7.991226075692495,10.706871936115729,2.7156458604232334
IC4202,29,1,92.24368741930937,98.05691951048705,5.813232091177682,0.9213595687952676,IC4202,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,89874500000.0,276.56399999999996,3784572996096.1743,10.9536364872814,12.578016886240198,1.6243803989587988
F583-1,25,1,10.918554894067574,17.356308853042822,6.437753958975248,-2.3092388472534253e-06,F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",493000000.0,97.81199999999998,167419623214.622,8.69284691927723,11.22380636019465,2.530959440917421
IC2574,34,1,49.18470928449736,55.962412708834506,6.7777034243371475,0.27501762489517745,IC2574,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",508000000.0,75.696,77597679598.03857,8.70586371228392,10.889848734752588,2.1839850224686668
F571-V1,7,1,4.0487449792897685,7.940565319731545,3.891820340441776,-4.233114947460592e-08,F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",924500000.0,95.304,154868584518.1601,8.965906915495191,11.189963328965584,2.224056413470393
F574-1,14,1,6.4090470890748374,11.68716252390242,5.278115434827583,-7.755970674594437e-07,F574-1,7,96.8,9.68,1,65.0,10.0,6.537,0.596,5.87,29.98,4.46,128.48,3.524,16.19,97.8,4.1,1,"dB01,dB96",3268500000.0,111.492,247948257759.4044,9.514348489301938,11.394361061011338,1.8800125717094005
F568-V1,15,1,6.113151822583156,11.521911220065544,5.408759397482388,0.0073410047220314745,F568-V1,7,80.6,8.06,1,40.0,10.0,3.825,0.384,4.4,31.39,2.85,90.54,2.491,14.38,112.3,15.8,1,"dB01,dB96",1912500000.0,128.022,375390921544.5103,9.281601443825656,11.574483765432907,2.2928823216072516
NGC0024,29,2,27.88261942142298,19.401729106529494,-8.480890314893486,15.215481974866435,NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",1944500000.0,121.182,318378909016.92896,9.28880794748348,11.502944290218425,2.214136342734946
NGC0247,26,2,99.48892344731979,32.10140454264336,-67.38751890467643,73.9037119807194,NGC0247,7,3.7,0.19,2,74.0,3.0,7.332,0.027,5.87,33.79,3.74,506.79,1.746,12.79,104.9,8.0,2,"Sa96,Ca90",3666000000.0,119.586,305964444701.23773,9.564192460626195,11.485670961229207,1.921478500603012
DDO154,12,1,11.85672399351947,16.826538271713414,4.969814278193944,-9.78617944014104e-07,DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",26500000.0,53.58,27519343580.777096,7.423245873936808,10.439638070455686,3.0163921965188782
DDO168,10,1,39.374110040869525,43.97928221525467,4.605172174385146,-1.988397052343771e-06,DDO168,10,4.25,0.21,2,63.0,6.0,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,"Sa96,Br92",95500000.0,60.87599999999999,40361590119.30033,7.980003371583746,10.605968267734204,2.6259648961504576
DDO064,14,1,9.367381808003312,13.941617772434135,4.574235964430823,0.7038786947996942,DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",78500000.0,52.553999999999995,25968524414.60063,7.894869656745253,10.414447272817478,2.519577616072225
NGC0289,28,2,74.18837266484645,58.6861624454648,-15.502210219381652,22.166619239732064,NGC0289,4,20.8,5.2,1,46.0,5.0,72.065,0.465,2.69,1587.93,6.74,69.96,27.469,49.51,163.0,8.0,2,Wa97,36032500000.0,185.82,1147908600737.9834,10.556694395304326,12.059907309860408,1.503212914556082
ESO116-G012,15,1,15.549786017175975,17.757265417407297,2.207479400231321,3.208621001973099,ESO116-G012,7,13.0,3.9,1,74.0,3.0,4.292,0.071,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,3.1,1,Ge04,2146000000.0,124.37399999999998,344206247268.60126,9.331629717629932,11.53681874841356,2.205189030783629
NGC2683,11,1,11.021381341119241,15.77248901536399,4.751107674244748,0.044682871351994,NGC2683,3,9.81,0.49,2,80.0,5.0,80.415,0.222,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,8.1,2,"Sa96,Br92",40207500000.0,175.55999999999997,968069771280.9614,10.604307070617006,11.985906659157925,1.381599588540917
