galaxy,N_best,alpha,chi2
D631-7,2,0.5,13.74
DDO064,1,0.5,4.66
DDO154,1,0.5,21.16
DDO161,1,0.5,12.53
DDO168,2,0.5,47.59
DDO170,1,0.431,10.57
ESO079-G014,1,0.5,25.85
ESO116-G012,1,0.5,12.89
ESO563-G021,1,0.5,243.94
F568-V1,1,0.5,1.15
F571-8,1,0.5,15.51
F571-V1,1,0.5,0.63
F574-1,1,0.5,5.32
F583-1,1,0.5,13.62
IC2574,2,0.5,27.71
IC4202,1,0.5,102.43
KK98-251,2,0.5,5.79
NGC0024,2,0.5,9.99
NGC0055,1,0.5,23.4
NGC0100,1,0.5,4.05
NGC0247,2,0.5,26.47
NGC0289,1,0.13,48.49
NGC0300,1,0.472,9.65
NGC0801,3,0.5,0.86
NGC0891,1,0.5,40.6
NGC1003,2,0.5,64.48
NGC1090,1,0.405,33.16
NGC2403,2,0.5,279.28
NGC2683,1,0.397,6.77
NGC2841,2,0.5,39.77
NGC2903,1,0.5,87.45
NGC2915,1,0.5,11.97
NGC2976,2,0.5,6.31
NGC2998,1,0.051,10.11
NGC3109,2,0.5,8.6
NGC3198,2,0.5,22.47
NGC3521,2,0.5,4.43
NGC3726,1,0.335,20.63
NGC3741,1,0.31,8.13
NGC3769,1,0.499,6.56
NGC3877,1,0.5,6.87
NGC3893,1,0.5,4.76
NGC3917,1,0.5,15.37
NGC3949,1,0.5,2.99
NGC3953,1,0.452,1.33
NGC3972,1,0.5,5.73
NGC3992,1,0.161,2.8
NGC4010,1,0.5,17.91
NGC4013,2,0.5,23.11
NGC4051,1,0.5,3.37
NGC4088,2,0.5,3.03
NGC4100,1,0.5,12.16
NGC4138,1,0.5,3.64
NGC4157,1,0.408,2.12
NGC4183,1,0.268,3.36
NGC4217,1,0.5,6.86
NGC4559,1,0.5,7.1
NGC5005,1,0.5,1.19
NGC5033,1,0.5,42.49
NGC5055,1,0.5,346.35
NGC5371,3,0.434,15.42
NGC5585,3,0.5,92.55
NGC5907,3,0.5,39.51
NGC5985,2,0.5,48.81
NGC6015,2,0.5,192.94
NGC6195,2,0.5,12.99
NGC6503,1,0.332,51.11
NGC6674,3,0.5,13.59
NGC6946,1,0.5,73.04
NGC7331,1,0.5,11.14
NGC7814,1,0.444,10.9
UGC00128,1,0.194,47.56
UGC00731,1,0.418,0.77
UGC01281,3,0.5,7.82
UGC02259,1,0.16,4.09
UGC02487,2,0.5,55.49
UGC02885,3,0.5,7.27
UGC02916,1,0.5,117.46
UGC02953,2,0.5,452.5
UGC03205,3,0.5,67.86
UGC03546,1,0.5,19.13
UGC03580,1,0.5,75.55
UGC04278,2,0.5,9.74
UGC04325,1,0.5,7.03
UGC04499,1,0.5,3.21
UGC05005,1,0.5,0.42
UGC05253,1,0.5,119.43
UGC05716,1,0.354,11.38
UGC05721,1,0.5,9.33
UGC05986,1,0.5,30.63
UGC06399,1,0.5,1.51
UGC06446,1,0.327,2.74
UGC06614,1,0.5,3.76
UGC06667,1,0.5,2.62
UGC06786,1,0.278,39.14
UGC06787,3,0.5,1205.8
UGC06818,2,0.5,8.34
UGC06917,1,0.5,3.36
UGC06930,1,0.429,1.52
UGC06983,1,0.5,6.58
UGC07125,1,0.5,4.24
UGC07151,1,0.5,13.9
UGC07261,1,0.133,0.11
UGC07399,1,0.399,4.09
UGC07524,1,0.5,7.97
UGC07603,1,0.5,5.91
UGC07690,1,0.5,0.83
UGC08286,1,0.465,20.85
UGC08490,1,0.273,2.75
UGC08550,1,0.394,4.7
UGC08699,1,0.113,16.74
UGC09037,1,0.5,14.1
UGC09133,2,0.5,438.95
UGC10310,1,0.5,1.24
UGC11455,1,0.333,49.59
UGC11914,3,0.5,26.82
UGC12506,1,0.197,4.21
UGC12632,1,0.5,1.22
UGCA442,1,0.5,3.79
UGCA444,1,0.413,3.23
