galaxy,group,vflat,in_off,out_off
NGC0024,winner,106.3,0.2343542371062329,-1.737456331502219
NGC0247,winner,104.9,-4.2819840994868095,0.3297093238204616
NGC0289,winner,163.0,-0.10713586386599981,-1.8449669623908018
NGC2403,winner,131.2,-6.788954848542305,0.014382881326808192
NGC1003,winner,109.8,-3.446797880776278,-0.9609790829867014
NGC1090,winner,164.4,-1.086331126182657,-3.651405181176368
NGC2841,winner,284.8,1.2718243517318721,-0.14354098059170786
NGC0801,winner,220.1,-0.8239219701315658,-0.4971753744742354
NGC3726,winner,168.0,-4.256094605968845,-0.9443288942394577
NGC2998,winner,209.9,0.7575445998285153,-0.9418590707306373
NGC3521,winner,213.7,-4.366562109812634,0.29214204906967994
NGC3198,winner,150.1,-0.3167875609911067,-4.349637818611374
NGC4013,winner,172.9,-2.094397985633418,-0.9487939634319947
NGC3741,winner,50.1,-3.269387702763764,-0.5465492827317232
NGC6015,winner,154.1,-0.16542590503361324,-0.9442056626835563
NGC6195,winner,251.7,-6.915641476539946,-0.3995249627125858
NGC5985,winner,293.6,1.3203358817645117,-1.4918411151332784
NGC5907,winner,215.0,0.06269892530452305,-2.822920510128805
UGC02259,winner,86.2,-0.11524669133461336,-1.5448482647005948
NGC6674,winner,241.3,2.9852906007018922,-0.9226356909529388
UGC00731,winner,73.3,-3.3288724483166194,-1.4489408962442347
UGC00128,winner,129.3,-1.429796987540707,-2.3515967073522224
UGC02885,winner,289.5,-0.3233543209309281,0.24732071931487914
NGC6503,winner,116.3,-0.7009016774109753,-3.9640188818024025
UGC05716,winner,73.1,-3.401643163519916,-1.1318728178199826
UGC06787,winner,248.1,0.164900063753071,0.19096575523339912
UGC02953,winner,264.9,0.5762707171964415,-0.7390663956669029
UGC06786,winner,219.4,-1.6198158659564725,0.22558980741036513
UGC07399,winner,103.0,-0.7142585007569497,-1.0735367052170113
UGC09133,winner,226.8,0.2674828131458293,-4.673373261721151
UGC08286,winner,82.4,-0.31917959552088326,-2.2194835995213507
UGC08699,winner,182.4,-0.7491380700883747,-1.4555832241722524
UGC08550,winner,56.9,-0.5775970136893178,-2.1262230543475527
UGC12506,winner,234.0,0.7172077423302007,0.09830041476237827
UGC08490,winner,78.6,-1.3860670492267402,-1.1284574750515617
UGC11455,winner,269.4,-1.3876849594314198,-0.5662330308463005
UGC01281,winner,55.2,-4.0971566297369275,-0.8513683527574752
UGC03205,winner,219.6,0.3614609318798745,-0.9620895704727559
DDO170,forced,60.0,-2.1370393250044586,-3.754806634199739
KK98-251,forced,33.7,-2.8564347724727526,-3.1190560729168624
D631-7,forced,57.7,-1.4524971253842613,-1.8786814922565924
IC2574,forced,66.4,-13.379411696301489,-0.31083256989889707
IC4202,forced,242.6,-0.011388971936591018,-7.205733704049885
F568-V1,forced,112.3,1.2557109115466956,-14.773251632573809
DDO168,forced,53.4,0.6129389038304496,-15.381784160824797
ESO116-G012,forced,109.1,-16.46760149811978,0.5064691963010731
NGC2683,forced,154.0,0.9374941128159611,-9.616446370029312
NGC2976,forced,85.4,-2.0148231108456534,-2.4610335552829605
NGC0300,forced,93.3,-1.6738175652657408,-1.2537174435980794
NGC0100,forced,88.1,0.3049546051793559,-46.534861849462885
NGC2915,forced,83.5,0.5083689465417404,-5.544332757881849
NGC3949,forced,163.0,-2.2354627104974436,-2.672874342406914
NGC3769,forced,118.6,-0.45917971856253187,-6.498203959534347
NGC0891,forced,216.1,-0.025538418976376594,-40.30969584061851
NGC4088,forced,171.7,-3.3135208171488637,-3.7433116768003236
NGC3972,forced,132.7,-3.259105587333114,-0.8887665385825613
NGC5005,forced,262.2,-1.067070972006705,-1.330083498078368
NGC4157,forced,184.7,-6.442053265314631,-0.09303640942530213
DDO161,forced,66.3,-12.202039795381063,-0.8828918225353434
NGC4183,forced,110.6,-1.3001057832984169,-4.082424535113446
NGC4559,forced,121.2,-9.32359139856694,-1.453051401010764
NGC3109,forced,66.2,-15.4262012922474,0.37193653893192724
NGC4010,forced,125.8,0.04641174576707198,-50.7175974390619
NGC4217,forced,181.3,-0.2808848764753527,-34.89785318460097
NGC7814,forced,218.9,-0.3412346243479866,-3.144342486014873
NGC6946,forced,158.9,-0.6279576044782386,-13.548185768993553
UGC04278,forced,91.4,-10.0551999472488,1.0127478791045967
UGC03580,forced,126.2,-1.8976173048187954,-5.489847539190109
UGC05721,forced,79.7,0.7835614717303974,-10.417158994862394
UGC06818,forced,71.2,-1.2386303426452232,-1.6123917461518393
NGC7331,forced,239.0,-5.688012911914445,0.09713153945628003
UGC06923,forced,79.6,0.13860883378760164,-34.52444674188518
UGC04499,forced,72.8,-0.6107215897312044,-34.985786289683915
UGC07261,forced,74.7,-1.2431820057284215,-1.5338191116173228
UGC06446,forced,82.2,-1.893109802490685,-1.2143601626350184
UGC06930,forced,107.2,-1.5402846366490444,-6.048678432582563
UGC06983,forced,109.0,-0.7277226339363809,-7.875688195864849
UGC07524,forced,79.5,-9.639668705572069,-0.4391731546093477
UGCA442,forced,56.4,-7.255361173114464,-0.41585851595157197
UGCA444,forced,37.0,-4.810707432816017,-1.2529159660929687
UGC12632,forced,71.7,-0.8628054855299516,-6.140908116182242
UGC09037,forced,152.3,-0.08911022863692973,-31.433622512192276
