galaxy,group,rmax,n,chi2_1,chi2_2,bic_margin,dchi2,p0_in,a_in,p0_out,a_out,ratio,drop
DDO170,forced,12.33,8,10.112892238663251,7.891143730805261,1.937134575501684,2.22174850785799,7.257281252690691,3.093315872926395,5.99774330350472,11.868165793646318,3.836713184553823,1.2595379491859715
ESO563-G021,forced,42.41,27,168.0709853014173,168.07103800284094,6.591726433432314,-5.270142364111052e-05,7.923291533333043,8.723247662861876,2.9232915390121024,10.407585279718782,1.1930860709168858,4.999999994320941
KK98-251,forced,3.13,15,4.033431224438333,4.033431224438461,5.416100402204549,-1.2789769243681803e-13,6.83685840475004,3.129999999999999,6.784167498501819,3.129999999999999,1.0,0.05269090624822059
D631-7,forced,7.19,15,7.7495453279305915,7.749545327930799,5.416100402204627,-2.078337502098293e-13,6.72636763041442,7.1899999999996105,6.674912801542981,7.189999999999635,1.0000000000000036,0.05145482887143871
IC2574,forced,10.23,34,42.131988235265034,41.856970610369856,6.7777034243371475,0.27501762489517745,6.717806389907124,0.850000000000027,6.667806389907121,9.761000000000001,11.483529411764342,0.05000000000000249
IC4202,forced,25.9,29,85.50909575933642,84.58773619054115,5.813232091177682,0.9213595687952676,7.8451259294881135,6.0797663074814,6.0332445375567545,24.908988315345187,4.097030552752277,1.811881391931359
F583-1,forced,16.26,25,4.480803244331173,4.48080555357002,6.437753958975248,-2.3092388472534253e-06,7.412243917846983,4.588197256776162,2.4122439203910595,5.171787393937354,1.1271937766623494,4.999999997455924
F571-V1,forced,13.59,7,0.15692468117914235,0.15692472351029182,3.891820340441776,-4.233114947460592e-08,7.246480011206555,5.440082212081724,2.246480216757149,5.847578101477638,1.0749062005884613,4.999999794449406
F574-1,forced,12.6,14,1.1309324298443202,1.1309332054413876,5.278115434827583,-7.755970674594437e-07,7.732020738924452,3.540868689243098,2.732020741772252,3.993825254780943,1.1279224408727424,4.9999999971522
F568-V1,forced,17.63,15,0.6970514203787352,0.6897104156567038,5.408759397482388,0.0073410047220314745,8.065155740167542,2.9366486715416746,5.3747812762013805,16.895332433539085,5.753269908405289,2.6903744639661618
NGC0024,winner,11.27,29,21.14802776145003,5.932545786583597,-8.480890314893486,15.215481974866435,8.773821633010593,1.0297684505333717,6.791262747652454,10.757988422526534,10.446997494392454,1.9825588853581388
NGC0247,winner,14.54,26,92.97273037127682,19.06901839055743,-67.38751890467643,73.9037119807194,7.894659459319775,1.789703536342546,6.67067612619431,13.902485176817125,7.768038054631309,1.2239833331254646
DDO154,forced,5.92,12,6.886910693943469,6.886911672561413,4.969814278193944,-9.78617944014104e-07,7.438739407908881,2.581258826112708,2.4387409442555983,2.748195884807073,1.064672731384232,4.999998463653283
DDO168,forced,4.12,10,34.76893985488143,34.76894184327848,4.605172174385146,-1.988397052343771e-06,7.425458276101582,3.8277125856260006,4.667016599196114,3.855979310520803,1.007384756368843,2.758441676905468
NGC0289,winner,71.12,28,67.52396364449605,45.357344404763985,-15.502210219381652,22.166619239732064,8.259174365315275,2.551652178619849,6.370237423882936,24.553892857024408,9.622742889003488,1.8889369414323385
DDO064,forced,2.98,14,4.089267148772795,3.385388453973101,4.574235964430823,0.7038786947996942,8.63128854830235,0.10000000000000502,7.685179036516522,2.200129513511307,22.001295135111963,0.9461095117858287
ESO116-G012,forced,9.86,15,10.133685614971554,6.925064612998455,2.207479400231321,3.208621001973099,8.590026231987927,0.25000000000000006,7.772851722586982,3.875723183383998,15.502892733535989,0.817174509400945
NGC2683,forced,34.62,11,6.225590795522501,6.180907924170507,4.751107674244748,0.044682871351994,8.078246609813718,3.802963831177127,5.098500423436425,33.079148191558815,8.698254745515122,2.9797461863772927
NGC2403,winner,20.87,73,1351.032918694346,227.36703023197396,-1115.0849695800755,1123.665888462372,8.91610255786118,0.4901050212430283,7.518679221260489,5.919595717272125,12.07821887288271,1.3974233366006912
F571-8,forced,15.55,9,9.308725794070442,9.308726067747356,4.394449428349354,-2.736769140199158e-07,7.463532202875507,8.15726577757818,2.4640681747491655,8.526902488699271,1.0453138001384126,4.999464028126342
NGC2976,forced,2.27,24,7.657737073028249,7.6577370730283505,6.35610766069599,-1.0125233984581428e-13,7.724956120664661,2.2699999999999925,7.674647884852714,2.2699999999999996,1.000000000000003,0.0503082358119471
NGC1003,winner,30.24,36,188.52266581516776,59.11756522943067,-122.23806270882487,129.4051005857371,7.598477631487934,3.27928974274047,6.105616098837626,28.891964487136388,8.810433585838517,1.4928615326503083
NGC0055,forced,13.5,21,9.175799315755393,9.175799927889864,6.089045487581316,-6.121344711118581e-07,7.068131241545721,6.7980934735438,2.0681389072380236,7.133188799866611,1.0492925446857864,4.999992334307698
NGC0300,forced,11.8,25,13.417073404253488,8.617483219474959,1.6381614649578715,4.799590184778529,7.7701128095565295,2.4546873462794716,6.666614198462663,11.332734367313783,4.616773042192366,1.1034986110938663
ESO079-G014,forced,16.67,15,13.31641321349149,13.316413891933664,5.416101080646595,-6.784421735517299e-07,7.5061961860830655,8.02910184613448,2.506463740388276,8.46114675382776,1.0538098676505496,4.999732445694789
NGC2903,forced,24.96,29,52.29307241827969,52.293094568326445,6.734613810019695,-2.2150046753210972e-05,7.656524910113125,6.765677335317836,2.656524916795661,7.6753934685519445,1.1344604668752463,4.999999993317465
NGC0100,forced,9.62,21,1.6254208024226737,1.6254208322887584,6.089044905312932,-2.9866084716445584e-08,7.439168590253833,4.7370362950048115,2.459782473395978,4.981184480254608,1.051540281738447,4.979386116857855
NGC2915,forced,10.04,28,9.772174392265251,9.588962409873021,6.481197037958179,0.1832119823922298,8.174797014075317,1.8517430276779048,6.040884895739685,9.630587151383892,5.200822688373072,2.1339121183356315
NGC3877,forced,11.35,11,17.523131664052798,17.5231972661474,4.795856147691342,-6.560209460104716e-05,8.10964160014642,2.6100000000000003,3.1096416001464204,3.047,1.1674329501915708,4.999999999999999
NGC1090,winner,30.09,22,37.75573203587153,25.025050261526932,-6.548596867627971,12.7306817743446,7.679183361549985,4.759042034417905,6.034878081612868,28.82345210171462,6.056565983922879,1.6443052799371163
NGC3949,forced,7.07,7,2.273319879051399,2.2733198790513995,3.891820298110628,-4.440892098500626e-16,7.247721724462053,7.069999999999999,7.195336048801703,7.07,1.0000000000000002,0.05238567566035002
NGC2841,winner,63.64,50,335.69558320746563,49.541304302386436,-278.33023289422295,286.1542789050792,8.611512771461129,3.515277877412201,6.1286724793170055,60.63376389387013,17.248640365951992,2.4828402921441235
NGC0801,winner,59.82,11,129.66085169293842,6.765656752123468,-118.0994043952182,122.89519494081496,8.618203912570245,1.9600000000000002,5.992267931035526,56.92699999999999,29.044387755102033,2.6259359815347185
NGC3953,forced,15.68,8,1.1283577318161735,1.1283616989632104,4.158887050506709,-3.967147036876284e-06,8.162056206266692,3.5000000000000004,3.1620562062666933,4.109000000000001,1.1740000000000002,4.999999999999999
NGC3726,winner,32.52,12,24.244369982717803,19.128779013429703,-0.14577766971209627,5.1155909692881,7.211059619373594,5.4453281744726745,6.32129599381723,31.166266407018785,5.723487255207887,0.8897636255563635
