galaxy,T,n_pts,rmax,model,alpha,cap,n_shells,chi2,chi2_red,bic,back_p0,back_p1,shell_idx,r_kpc,M_Msun,sigma_over_r,sigma_kpc
DDO170,10,8,12.33,burkert,,0.1,1,3.0336,1.0112,13.4308,7.23946,3.63583,1,11.001,1.3465e+09,0.0165,0.181
DDO170,10,8,12.33,burkert,,0.2,1,3.0336,1.0112,13.4308,7.23946,3.63583,1,11.124,1.3466e+09,0.028,0.312
DDO170,10,8,12.33,burkert,,0.3,1,2.4415,0.8138,12.8387,6.38672,11.91726,1,3.513,1.7810e+09,0.3,1.054
DDO170,10,8,12.33,burkert,,0.4,1,1.085,0.3617,11.4822,6.1006,25.43683,1,3.866,2.4957e+09,0.3734,1.443
DDO170,10,8,12.33,burkert,,0.5,1,1.085,0.3617,11.4822,6.1006,25.4363,1,3.866,2.4957e+09,0.3733,1.443
DDO170,10,8,12.33,burkert,,0.6,1,1.085,0.3617,11.4822,6.1006,25.43665,1,3.866,2.4957e+09,0.3734,1.443
DDO170,10,8,12.33,burkert,,0.7,1,1.085,0.3617,11.4822,6.1006,25.43702,1,3.866,2.4957e+09,0.3734,1.443
DDO170,10,8,12.33,burkert,,0.8,1,1.085,0.3617,11.4822,6.1006,25.43701,1,3.866,2.4957e+09,0.3734,1.443
DDO170,10,8,12.33,burkert,,0.9,1,1.085,0.3617,11.4822,6.1006,25.43682,1,3.866,2.4957e+09,0.3734,1.443
DDO170,10,8,12.33,burkert,,1.0,1,1.085,0.3617,11.4822,6.1006,25.43671,1,3.866,2.4957e+09,0.3734,1.443
DDO170,10,8,12.33,nfw,,0.1,1,1.6145,0.5382,12.0117,5.2987,54.14793,1,3.478,1.0073e+09,0.1,0.348
DDO170,10,8,12.33,nfw,,0.2,1,1.4801,0.4934,11.8773,5.16733,68.55385,1,3.618,1.1104e+09,0.2,0.724
DDO170,10,8,12.33,nfw,,0.3,1,1.2016,0.4005,11.5988,4.43688,300.0,1,3.739,1.4109e+09,0.2753,1.029
DDO170,10,8,12.33,nfw,,0.4,1,1.2016,0.4005,11.5988,4.43688,300.0,1,3.739,1.4109e+09,0.2753,1.029
DDO170,10,8,12.33,nfw,,0.5,1,1.2016,0.4005,11.5988,4.43688,300.0,1,3.739,1.4109e+09,0.2753,1.029
DDO170,10,8,12.33,nfw,,0.6,1,1.2016,0.4005,11.5988,4.43688,300.0,1,3.739,1.4109e+09,0.2753,1.029
DDO170,10,8,12.33,nfw,,0.7,1,1.2016,0.4005,11.5988,4.43688,300.0,1,3.739,1.4109e+09,0.2753,1.029
DDO170,10,8,12.33,nfw,,0.8,1,1.2016,0.4005,11.5988,4.43688,300.0,1,3.739,1.4109e+09,0.2753,1.029
DDO170,10,8,12.33,nfw,,0.9,1,1.2016,0.4005,11.5988,4.43688,300.0,1,3.739,1.4109e+09,0.2753,1.029
DDO170,10,8,12.33,nfw,,1.0,1,1.2016,0.4005,11.5988,4.43688,300.0,1,3.739,1.4109e+09,0.2753,1.029
DDO170,10,8,12.33,einasto,0.17,0.1,1,1.6376,0.5459,12.0348,4.25647,94.8724,1,3.476,9.5871e+08,0.1,0.348
DDO170,10,8,12.33,einasto,0.17,0.2,1,1.5627,0.5209,11.96,4.17534,108.81913,1,3.601,1.0455e+09,0.2,0.72
DDO170,10,8,12.33,einasto,0.17,0.3,1,1.3119,0.4373,11.7091,3.63923,300.0,1,3.686,1.4748e+09,0.2996,1.104
DDO170,10,8,12.33,einasto,0.17,0.4,1,1.3119,0.4373,11.7091,3.63923,300.0,1,3.686,1.4748e+09,0.2996,1.104
DDO170,10,8,12.33,einasto,0.17,0.5,1,1.3119,0.4373,11.7091,3.63923,300.0,1,3.686,1.4748e+09,0.2996,1.104
DDO170,10,8,12.33,einasto,0.17,0.6,1,1.3119,0.4373,11.7091,3.63923,300.0,1,3.686,1.4748e+09,0.2996,1.104
DDO170,10,8,12.33,einasto,0.17,0.7,1,1.3119,0.4373,11.7091,3.63923,300.0,1,3.686,1.4748e+09,0.2996,1.104
DDO170,10,8,12.33,einasto,0.17,0.8,1,1.3119,0.4373,11.7091,3.63923,300.0,1,3.686,1.4748e+09,0.2996,1.104
DDO170,10,8,12.33,einasto,0.17,0.9,1,1.3119,0.4373,11.7091,3.63923,300.0,1,3.686,1.4748e+09,0.2996,1.104
DDO170,10,8,12.33,einasto,0.17,1.0,1,1.3119,0.4373,11.7091,3.63923,300.0,1,3.686,1.4748e+09,0.2996,1.104
F571-V1,7,7,13.59,burkert,,0.1,0,0.1569,0.0314,4.0487,7.24648,5.44009,0,,,,
F571-V1,7,7,13.59,burkert,,0.2,0,0.1569,0.0314,4.0487,7.24648,5.44009,0,,,,
F571-V1,7,7,13.59,burkert,,0.3,0,0.1569,0.0314,4.0487,7.24648,5.44009,0,,,,
F571-V1,7,7,13.59,burkert,,0.4,0,0.1569,0.0314,4.0487,7.24648,5.44009,0,,,,
F571-V1,7,7,13.59,burkert,,0.5,0,0.1569,0.0314,4.0487,7.24648,5.44009,0,,,,
F571-V1,7,7,13.59,burkert,,0.6,0,0.1569,0.0314,4.0487,7.24648,5.44009,0,,,,
F571-V1,7,7,13.59,burkert,,0.7,0,0.1569,0.0314,4.0487,7.24648,5.44009,0,,,,
F571-V1,7,7,13.59,burkert,,0.8,0,0.1569,0.0314,4.0487,7.24648,5.44009,0,,,,
