galaxy,T,n_pts,rmax,model,cap,n_shells,chi2_red,bic
D631-7,10,15,7.19,burkert,0.1,0,0.596,13.1635
D631-7,10,15,7.19,burkert,0.2,0,0.596,13.1635
D631-7,10,15,7.19,burkert,0.3,0,0.596,13.1635
D631-7,10,15,7.19,burkert,0.4,0,0.596,13.1635
D631-7,10,15,7.19,burkert,0.5,0,0.596,13.1635
D631-7,10,15,7.19,burkert,0.6,0,0.596,13.1635
D631-7,10,15,7.19,burkert,0.7,0,0.596,13.1635
D631-7,10,15,7.19,burkert,0.8,0,0.596,13.1635
D631-7,10,15,7.19,burkert,0.9,0,0.596,13.1635
D631-7,10,15,7.19,burkert,1.0,0,0.596,13.1635
D631-7,10,15,7.19,einasto,0.1,2,0.7939,27.2216
D631-7,10,15,7.19,einasto,0.2,1,0.7018,20.5583
D631-7,10,15,7.19,einasto,0.3,1,0.3312,16.8521
D631-7,10,15,7.19,einasto,0.4,1,0.3299,16.8388
D631-7,10,15,7.19,einasto,0.5,1,0.3302,16.8425
D631-7,10,15,7.19,einasto,0.6,1,0.3302,16.8423
D631-7,10,15,7.19,einasto,0.7,1,0.3299,16.8394
D631-7,10,15,7.19,einasto,0.8,1,0.3301,16.8414
D631-7,10,15,7.19,einasto,0.9,1,0.3299,16.839
D631-7,10,15,7.19,einasto,1.0,1,0.3299,16.8388
D631-7,10,15,7.19,nfw,0.1,2,1.1925,30.0119
D631-7,10,15,7.19,nfw,0.2,2,0.2444,23.3754
D631-7,10,15,7.19,nfw,0.3,1,0.4066,17.6061
D631-7,10,15,7.19,nfw,0.4,1,0.3685,17.2257
D631-7,10,15,7.19,nfw,0.5,1,0.3685,17.2257
D631-7,10,15,7.19,nfw,0.6,1,0.3685,17.2257
D631-7,10,15,7.19,nfw,0.7,1,0.3685,17.2257
D631-7,10,15,7.19,nfw,0.8,1,0.3685,17.2257
D631-7,10,15,7.19,nfw,0.9,1,0.3685,17.2257
D631-7,10,15,7.19,nfw,1.0,1,0.3685,17.2257
DDO064,10,14,2.98,burkert,0.1,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,0.2,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,0.3,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,0.4,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,0.5,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,0.6,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,0.7,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,0.8,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,0.9,0,0.3408,9.3674
DDO064,10,14,2.98,burkert,1.0,0,0.3408,9.3674
DDO064,10,14,2.98,einasto,0.1,0,0.3849,9.8967
