galaxy,N,logp0,a,loga,rmax,T,L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,Q,M_star,M_halo,logM_star,logM_halo,logM_halo_per_star,D,Inc,n,logMHI,gasfrac,MHI_Mstar,rmax_over_a,SB_central,res_a
DDO170,1,7.160753335862773,4.1578725048225555,0.6188711681842546,12.33,10,0.543,3.03,9.39,1.95,73.93,0.735,9.14,60.0,2,271500000.0,57252999946.52294,8.433769833924865,10.757798247799466,2.324028413874601,15.4,66.0,,0.0,2.707182313113153e-09,2.707182320441989e-09,2.9654588941096454,73.93,0.1749716565873266
ESO563-G021,1,7.923295876930969,8.723264851067649,0.9406790584910816,42.41,4,311.177,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,1,155588500000.0,8253167351802.295,11.191977493867602,12.91662065151034,1.7246431576427366,60.8,83.0,,1.3855705277254657,1.5616835432056623e-10,1.561683543449548e-10,4.8617118388660865,6558.89,-0.11690840989318607
KK98-251,1,7.112341547091041,3.1299999999999977,0.4955443375464481,3.13,10,0.085,1.28,7.89,1.34,52.1,0.115,2.9,33.7,2,42500000.0,10144582988.251328,7.628388930050312,10.00623419926255,2.377845269212239,6.8,59.0,,0.0,2.7058823456193773e-09,2.7058823529411764e-09,1.0000000000000009,52.1,0.26529176816608335
D631-7,1,7.0024318065138,7.189999999999954,0.8567288903828798,7.19,10,0.196,1.22,20.93,0.7,115.04,0.29,0.0,57.7,1,98000000.0,50918070273.50026,7.991226075692495,10.706871936115729,2.7156458604232334,7.72,59.0,,0.0,2.9591836647126195e-09,2.9591836734693875e-09,1.0000000000000064,115.04,0.4273061898984296
IC2574,1,6.666055792308252,10.23,1.0098756337121602,10.23,9,1.016,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2,508000000.0,77597679598.03857,8.70586371228392,10.889848734752588,2.1839850224686668,3.91,75.0,,0.015359755409214231,2.039370074581127e-09,2.0393700787401577e-09,1.0,80.32,0.5284381600338044
IC4202,1,7.8266393174155,6.556600737086062,0.8166787381945383,25.9,4,179.749,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,1,89874500000.0,3784572996096.1743,10.9536364872814,12.578016886240198,1.6243803989587988,100.4,90.0,,1.0908221633946567,1.3714679912889116e-10,1.3714679914770042e-10,3.950217656765644,8888.53,-0.14465391436423813
F583-1,1,7.412248291683432,4.588202654930825,0.6616425918740586,16.26,9,0.986,3.74,11.19,2.36,60.93,2.126,15.65,85.8,1,493000000.0,167419623214.622,8.69284691927723,11.22380636019465,2.530959440917421,35.4,63.0,,0.32756326018727794,4.312373206555567e-09,4.3123732251521295e-09,3.5438713637737407,60.93,0.0852710594890661
F571-V1,1,7.246484353610641,5.440086296891813,0.735605789030286,13.59,7,1.849,4.38,15.3,2.47,64.39,1.217,10.1,83.6,2,924500000.0,154868584518.1601,8.965906915495191,11.189963328965584,2.224056413470393,80.1,30.0,,0.08529057823006501,1.3163872346110944e-09,1.3163872363439698e-09,2.4981221359971126,64.39,0.16885480748391524
F574-1,1,7.732025002779414,3.5408736832457475,0.5491104340589178,12.6,7,6.537,5.87,29.98,4.46,128.48,3.524,16.19,97.8,1,3268500000.0,247948257759.4044,9.514348489301938,11.394361061011338,1.8800125717094005,96.8,65.0,,0.5470358997400103,1.0781704134008038e-09,1.0781704145632554e-09,3.5584437986644555,128.48,-0.0757446445801585
F568-V1,1,8.057425215800937,2.9929608377742416,0.4761010342308302,17.63,7,3.825,4.4,31.39,2.85,90.54,2.491,14.38,112.3,1,1912500000.0,375390921544.5103,9.281601443825656,11.574483765432907,2.2928823216072516,80.6,40.0,,0.3963737275365065,1.3024836584342555e-09,1.302483660130719e-09,5.890488033619178,90.54,-0.19995748488462467
DDO154,1,7.438743714607549,2.5812606429098275,0.4118318596629384,5.92,10,0.053,0.65,19.99,0.37,71.26,0.275,4.96,47.0,2,26500000.0,27519343580.777096,7.423245873936808,10.439638070455686,3.0163921965188782,4.04,64.0,,0.0,1.037735838287647e-08,1.037735849056604e-08,2.2934530134571953,71.26,0.05837566977212999
DDO168,1,7.426207834573591,3.827733825204695,0.5829417299762812,4.12,10,0.191,1.29,18.23,1.02,92.22,0.413,4.3,53.4,2,95500000.0,40361590119.30033,7.980003371583746,10.605968267734204,2.6259648961504576,4.25,63.0,,0.0,4.324607311140703e-09,4.3246073298429316e-09,1.0763548846763595,92.22,0.1822028924974043
DDO064,1,7.756843259978683,1.9089477310447247,0.2807940371261841,2.98,10,0.157,1.2,17.41,0.69,151.65,0.211,3.49,46.1,1,78500000.0,25968524414.60063,7.894869656745253,10.414447272817478,2.519577616072225,6.8,60.0,,0.0,2.6878980819471785e-09,2.6878980891719746e-09,1.561069458077363,151.65,-0.0655011704133841
ESO116-G012,1,7.8231465595118275,3.63867266066188,0.5609429876932482,9.86,7,4.292,2.75,90.54,1.51,1320.78,1.083,9.58,109.1,1,2146000000.0,344206247268.60126,9.331629717629932,11.53681874841356,2.205189030783629,13.0,74.0,,0.034628456625320346,5.046598319913576e-10,5.046598322460391e-10,2.709779339756946,1320.78,-0.10440850554678927
NGC2683,1,8.049930375693013,3.972478361544004,0.5990615402437645,34.62,3,80.415,3.34,1139.8,2.18,10205.4,1.406,13.79,154.0,2,40207500000.0,968069771280.9614,10.604307070617006,11.985906659157925,1.381599588540917,9.81,80.0,,0.14798532068380513,3.496860038427741e-11,3.496860038550022e-11,8.714962511852189,10205.4,-0.19395207188519392
F571-8,1,7.463536704315475,8.157266951784653,0.911544675104754,15.55,5,10.164,1.4,825.71,3.56,87.26,1.782,24.55,139.7,1,5082000000.0,722659497924.8575,9.70603466071435,11.85893371499108,2.1528990542767303,53.3,85.0,,0.25090769970085597,3.506493505263957e-10,3.5064935064935066e-10,1.9062757283673253,87.26,0.15462563311694355
NGC2976,1,8.001560048413094,2.269999999999999,0.3560258571931226,2.27,5,3.371,1.31,308.2,1.01,1502.55,0.172,3.04,85.4,2,1685500000.0,165088989297.6138,9.226728756856993,11.21771810871555,1.990989351858559,3.58,61.0,,0.0,1.0204687035446332e-10,1.0204687036487688e-10,1.0000000000000004,1502.55,-0.21861496931991192
NGC0055,1,7.068135452794368,6.798098697432038,0.8323874655484463,13.5,9,4.628,3.67,54.55,6.11,391.59,1.565,10.24,85.6,2,2314000000.0,166251583557.8982,9.364363354615731,11.220765790679994,1.856402436064263,2.11,77.0,,0.19451434188246727,6.763180635011072e-10,6.763180639585134e-10,1.9858493677209461,391.59,0.25688027517218626
NGC0300,1,7.661602340651106,3.787876885254819,0.5783958549871542,11.8,7,2.922,1.77,147.51,1.75,437.35,0.936,9.2,93.3,2,1461000000.0,215272932979.29968,9.164650215934296,11.332989427888034,2.1683392119537377,2.08,42.0,,0.0,6.406570837784702e-10,6.406570841889118e-10,3.1152015647430917,437.35,-0.029013123374565852
ESO079-G014,1,7.506200479358427,8.029106807912672,0.9046672351952068,16.67,4,51.733,7.23,157.34,5.08,2295.25,3.14,17.67,175.0,1,25866500000.0,1420556928649.9834,10.412737668240323,12.152458642707415,1.7397209744670938,28.7,79.0,,0.49692964807321494,1.2139253473097742e-10,1.2139253474571357e-10,2.0761960699752726,2295.25,0.06430792834505583
NGC2903,1,7.656529042090282,6.7656885835564875,0.8303120038634961,24.96,4,81.863,4.54,632.16,2.33,1193.52,2.552,13.76,184.6,1,40931500000.0,1667399192040.754,10.612057660349793,12.222039586718214,1.6099819263684214,6.6,66.0,,0.4068806700491247,6.234806933146568e-11,6.234806933535297e-11,3.6892032040409695,1193.52,-0.029827062214611955
NGC0100,1,7.439173086988402,4.737039250831504,0.6755069832816635,9.62,6,3.232,2.81,64.99,1.66,1193.52,1.99,16.36,88.1,1,1616000000.0,181247582195.3958,9.208441356438568,11.258272221884678,2.0498308654461095,13.5,89.0,,0.29885307640970665,1.2314356420479227e-09,1.2314356435643565e-09,2.030804367582848,1193.52,0.08933784818367829
NGC2915,1,8.131220190594682,2.0268570059138193,0.3068231104428148,10.04,11,0.641,0.53,347.4,0.55,313.93,0.508,7.16,83.5,2,320500000.0,154313500515.00732,8.505828033854836,11.18840392309934,2.6825758892445037,4.06,56.0,,0.0,1.5850233984237383e-09,1.5850234009360374e-09,4.953482150297727,313.93,-0.2594845791504003
NGC3877,1,8.787223061128426,1.2170192257310193,0.0852974390048724,11.35,5,72.535,4.39,598.18,2.53,3410.59,1.483,11.47,168.4,2,36267500000.0,1265816516634.8518,10.559517619720909,12.102370758139427,1.5428531384185185,18.0,76.0,,0.17114115102838207,4.0890604534069324e-11,4.0890604535741366e-11,9.32606466687695,3410.59,-0.7408233962195017
NGC3949,1,7.523348265290525,7.069999999999999,0.8494194137968993,7.07,4,38.067,2.39,1058.84,3.59,185.71,3.371,13.72,163.0,2,19033500000.0,1147908600737.9834,10.279518656438448,12.059907309860408,1.7803886534219604,18.0,55.0,,0.5277587525209719,1.7710878185320442e-10,1.7710878188457194e-10,1.0000000000000002,185.71,0.035369653417636426
NGC3953,1,8.184098356860332,3.40467462630191,0.5320756141185263,15.68,4,141.301,6.17,587.26,4.89,1999.08,2.832,17.38,220.8,1,70650500000.0,2853262337430.916,10.849115239736914,12.455341703820018,1.606226464083104,18.0,62.0,,0.4520932490177314,4.008464200375765e-11,4.008464200536443e-11,4.605432742050686,1999.08,-0.3943841920594895
NGC3769,1,7.359392847120972,6.533191133615446,0.8151253640003508,37.16,3,18.679,2.18,626.37,3.38,160.26,5.529,22.57,118.6,2,9339500000.0,442179458728.5016,9.970323626438503,11.645598563733266,1.6752749372947626,18.0,70.0,,0.7426465899387362,5.920017128033431e-10,5.920017131538091e-10,5.687878900220661,160.26,0.1188510572447119
NGC3992,1,7.924163797478705,6.802960687974812,0.832697961325856,46.02,4,226.932,9.99,360.44,4.96,3257.09,16.599,32.75,241.0,1,113466000000.0,3710185504928.027,11.054865745013934,12.56939562437314,1.5145298793592057,23.7,56.0,,1.2200819249338148,1.4629051872430266e-10,1.4629051874570355e-10,6.764701739545081,3257.09,-0.12618392707046389
NGC3893,1,7.841498780749305,5.128265732091418,0.709970520994168,19.05,5,58.525,2.43,1573.37,2.38,2055.09,5.799,20.84,174.0,1,29262500000.0,1396343415695.748,10.466311426704682,12.144992241496334,1.6786808147916528,18.0,49.0,,0.7633531087482155,1.981717214472722e-10,1.9817172148654423e-10,3.7147061005029087,2055.09,-0.12826631367119035
NGC4051,1,7.867093361204639,2.8958828773044663,0.4617809930330571,12.19,4,95.268,6.87,319.76,4.65,1320.78,2.697,15.13,157.0,2,47634000000.0,1025754554268.7478,10.677917052328027,12.011043453876235,1.3331264015482065,18.0,49.0,,0.4308809464528912,5.6619221561223037e-11,5.661922156442877e-11,4.209424385058917,1320.78,-0.3383782500493072
NGC0891,1,7.254816163576087,12.008816755517625,1.079500217905398,17.11,3,138.34,3.68,1617.45,2.55,5067.92,4.462,18.16,216.1,1,69170000000.0,2674907677756.568,10.83991777567868,12.427308797298258,1.5873910216195777,9.91,90.0,,0.6495295659478189,6.450773456284757e-11,6.450773456700882e-11,1.4247865004800375,5067.92,0.16100931972860488
NGC4138,1,8.346882524227766,2.507960963934317,0.3993207724777149,18.58,0,44.111,1.91,1909.11,1.51,3952.12,1.483,18.58,147.3,2,22055500000.0,847135218216.6102,10.343516907717673,11.927952737176428,1.5844358294587568,18.0,53.0,,0.17114115102838207,6.723946407473346e-11,6.723946407925461e-11,7.408408769988578,3952.12,-0.3772182913477319
NGC4088,1,6.592007128763084,21.479999999999997,1.332034277027518,21.48,4,107.286,6.1,457.96,2.58,3988.69,8.226,22.25,171.7,1,53643000000.0,1341699883703.6812,10.729513057900906,12.127655382131284,1.3981423242303777,18.0,69.0,,0.9151887051731563,1.5334712821316048e-10,1.5334712823667583e-10,1.0,3988.69,0.49872578745555796
NGC3917,1,7.723396381849182,4.610238571469615,0.6637233999215191,14.86,6,21.966,5.56,112.94,2.63,1226.96,1.888,14.08,135.9,1,10983000000.0,665277547788.7239,10.040720983601194,11.823002866846018,1.7822818832448242,18.0,79.0,,0.27600198996205016,1.719020303810843e-10,1.719020304106346e-10,3.2232605253795037,1226.96,-0.08298158798482724
