galaxy,vflat,n_local,window,in_off,out_off
IC2574,66.4,28,20,-6.472128432762824,9.179099027913342
NGC0024,106.3,17,20,0.5367689952159358,5.254352545824052
NGC0247,104.9,19,20,-3.729388818978512,4.4840016400481595
NGC0289,163.0,14,20,-0.10825775232754555,-1.8454123514001266
NGC0801,220.1,13,40,-0.7731867989929954,-1.1225487103747176
NGC1003,109.8,16,20,-2.972835536936675,0.42372105019273393
NGC1090,164.4,14,20,-0.9392784559822146,-3.4162412664381914
NGC2403,131.2,10,20,-6.7735396438010245,0.022590347617544766
NGC2841,284.8,11,90,1.310660895223389,1.3143748094819345
NGC2998,209.9,11,30,0.7240472709056008,-0.9367785505246472
NGC3198,150.1,11,20,-0.19484455826346148,0.887092882877731
NGC3521,213.7,11,30,-4.246290508142193,0.20009967180135518
NGC3726,168.0,15,20,-3.2679137745628406,7.237236909883143
NGC3741,50.1,14,20,-3.2761542185901993,-0.5508670913766868
NGC4013,172.9,14,20,-1.3358340694108868,0.4295334704429836
NGC5585,90.3,27,20,-9.451055885162303,0.035127735423197366
NGC5985,293.6,12,100,1.3950779087623546,1.8440166934404494
NGC6015,154.1,12,20,-0.17228231517608636,-1.0367767269651922
NGC6195,251.7,10,60,-6.046887094417066,-0.019660491193612295
NGC6503,116.3,15,20,-0.6432572211012193,-3.6327522992506527
UGC00128,129.3,11,20,-1.442193838111114,-2.3418610698256708
UGC00731,73.3,31,20,-3.417787874004324,-1.4249646194362757
UGC02259,86.2,26,20,0.16605478691743528,5.546192003662931
UGC02953,264.9,11,70,0.592905317018381,-0.4216175911014575
UGC03205,219.6,13,40,0.389149625288704,-0.7045688452844407
UGC04278,91.4,27,20,-8.249342524062543,2.7480743509684773
UGC05253,213.7,11,30,-9.719265263113499,0.8202716035092195
UGC05716,73.1,30,20,-3.292722281201263,-0.6813219193531064
UGC06786,219.4,13,40,-1.6824290616950286,0.24254855493153793
UGC06787,248.1,10,60,0.49320898048061107,7.301174855694469
UGC07399,103.0,22,20,-0.20347217548633095,9.70481902266118
UGC08286,82.4,27,20,-0.06011134619627337,4.998747015514117
UGC08490,78.6,28,20,-1.298614416064483,-1.1938436511538981
UGC08550,56.9,19,20,-0.6071907912343824,-2.277253725928703
UGC08699,182.4,13,20,-0.6012943198974814,-1.3114928671249297
UGC09133,226.8,10,40,0.279038500286774,-4.6320688030153905
UGC11455,269.4,10,70,-0.8680047344014132,4.727483196268974
UGC12506,234.0,10,40,0.6675824068628731,0.13151309949637052
