galaxy,N,logp0,a,loga,rmax
DDO170,1,7.160753335862773,4.1578725048225555,0.6188711681842546,12.33
ESO563-G021,1,7.923295876930969,8.723264851067649,0.9406790584910816,42.41
KK98-251,1,7.112341547091041,3.1299999999999977,0.49554433754644817,3.13
D631-7,1,7.0024318065138,7.189999999999954,0.8567288903828798,7.19
IC2574,1,6.666055792308252,10.229999999999999,1.0098756337121602,10.23
IC4202,1,7.8266393174155,6.556600737086062,0.8166787381945383,25.9
F583-1,1,7.412248291683432,4.588202654930825,0.6616425918740586,16.26
F571-V1,1,7.246484353610641,5.440086296891813,0.735605789030286,13.59
F574-1,1,7.732025002779414,3.5408736832457475,0.5491104340589178,12.6
F568-V1,1,8.057425215800937,2.9929608377742416,0.4761010342308302,17.63
NGC0024,2,8.585528982554687,1.5471089350234148,0.18952089431599617,11.27
NGC0247,2,7.707080976856367,3.1561129355092175,0.4991525352189169,14.54
DDO154,1,7.438743714607549,2.5812606429098275,0.41183185966293845,5.92
DDO168,1,7.426207834573591,3.827733825204695,0.5829417299762812,4.12
NGC0289,2,7.304071560776103,9.854189897018788,0.9936209271729827,71.12
DDO064,1,7.756843259978683,1.9089477310447247,0.2807940371261841,2.98
ESO116-G012,1,7.8231465595118275,3.6386726606618804,0.5609429876932482,9.86
NGC2683,1,8.049930375693013,3.9724783615440042,0.5990615402437645,34.62
NGC2403,2,7.913723311921659,3.7057815948824437,0.5688798200199977,20.87
F571-8,1,7.463536704315475,8.157266951784653,0.911544675104754,15.55
NGC2976,1,8.001560048413094,2.269999999999999,0.3560258571931226,2.27
NGC1003,2,7.0159771189763624,9.3364045970585,0.9701796637809427,30.24
NGC0055,1,7.068135452794368,6.798098697432038,0.8323874655484463,13.5
NGC0300,1,7.661602340651106,3.787876885254819,0.5783958549871542,11.8
ESO079-G014,1,7.5062004793584265,8.029106807912672,0.9046672351952068,16.67
NGC2903,1,7.656529042090282,6.7656885835564875,0.8303120038634961,24.96
NGC0100,1,7.439173086988402,4.737039250831504,0.6755069832816635,9.62
NGC2915,1,8.131220190594682,2.0268570059138193,0.3068231104428148,10.04
NGC3877,1,8.787223061128426,1.2170192257310193,0.08529743900487247,11.35
NGC1090,2,7.459023246739583,7.163792165410694,0.855142977690032,30.09
NGC3949,1,7.523348265290525,7.069999999999999,0.8494194137968993,7.07
NGC2841,2,8.228212428021672,6.0484792975885275,0.781646198506748,63.64
NGC0801,2,7.137640824608814,12.669228586966826,1.1027501720560657,59.82
NGC3953,1,8.184098356860332,3.40467462630191,0.5320756141185263,15.68
NGC3726,2,6.9634830922084445,12.759525081093827,1.1058345099259954,32.52
NGC3769,1,7.359392847120972,6.533191133615446,0.8151253640003508,37.16
NGC3992,1,7.924163797478705,6.802960687974812,0.832697961325856,46.02
NGC3893,1,7.841498780749305,5.128265732091418,0.709970520994168,19.05
NGC4051,1,7.867093361204639,2.8958828773044663,0.4617809930330571,12.19
NGC0891,1,7.254816163576087,12.008816755517625,1.0795002179053979,17.11
NGC4138,1,8.346882524227766,2.5079609639343166,0.3993207724777149,18.58
NGC2998,2,7.4181196406110335,9.835346595143939,0.9927896689534964,42.28
NGC4088,1,6.592007128763084,21.479999999999997,1.332034277027518,21.48
NGC3917,1,7.723396381849182,4.610238571469615,0.6637233999215191,14.86
NGC3521,2,7.856454344695146,5.665723646252369,0.7532553873685609,17.74
NGC3198,2,7.53598065026333,6.6962690061800405,0.8258328920510519,44.08
NGC3972,1,7.838346487029811,3.895626607299295,0.5905773234219736,8.72
NGC4100,1,8.110634525313097,3.7370849294764317,0.5725329677944709,22.76
NGC4013,2,7.201487291550792,11.009735709205488,1.0417768937754464,31.01
NGC5005,1,7.502094919321598,11.469999999999999,1.0595634179012676,11.47
NGC5033,1,7.7055025503226915,7.330155242852507,0.8651131725129219,44.59
NGC3741,2,7.432383973873876,2.7034967557504648,0.43192585274999507,7.0
NGC5055,1,6.913056923926232,15.641145155478167,1.194268546453921,54.59
NGC4157,1,6.948755540802228,15.855289036789967,1.2001741634831822,29.61
NGC5371,2,7.905228761554272,4.415264793766156,0.6449567543514246,46.24
DDO161,1,6.802616281934342,7.394408316427923,0.8689034284761185,13.37
NGC6015,2,8.220723570322688,3.0003722162946826,0.4771751352048175,29.23
NGC6195,2,6.7549143055983105,23.091974194276922,1.36346106349447,36.43
NGC5585,2,7.4781440999144815,4.483989836066227,0.6516646195015807,10.96
NGC5985,2,8.491999934561765,4.242461148553294,0.6276178738427063,34.72
NGC4183,1,7.812216003449592,3.436069399638282,0.5360619268633887,21.02
NGC5907,2,7.69615201380275,7.443288576379851,0.87176485692011,50.33
NGC4559,1,7.256623409095748,7.0082258431597015,0.8456080887161948,20.97
NGC3109,1,7.3254998223915795,4.681946135735931,0.6704264129729036,6.45
NGC4010,1,7.384883398694504,6.878631106417352,0.8375020193284819,10.47
UGC02259,2,8.308644864255962,1.5996581718279768,0.20402718893768285,8.14
NGC4217,1,6.97123225863079,15.395842147266194,1.187403449647632,16.72
UGC02487,1,8.059970874443545,8.683365104635083,0.9386880619457223,80.38
UGC04325,1,8.491076465838887,1.35989120704559,0.13350416567192647,5.59
NGC7814,1,7.873047039154868,6.083731838867454,0.7841700627993052,19.53
NGC6674,2,7.522563309334251,10.955849657413365,1.0396460639795357,72.41
