galaxy,model,N_best,chi2red
DDO170,burkert,1,1.75
IC2574,burkert,2,0.786
IC4202,burkert,1,3.18
F583-1,burkert,1,0.196
ESO563-G021,burkert,1,6.725
DDO064,burkert,1,0.344
F571-V1,burkert,1,0.032
DDO168,burkert,1,4.547
NGC0024,burkert,2,0.162
DDO154,burkert,1,0.747
F574-1,burkert,1,0.094
KK98-251,burkert,1,0.312
F571-8,burkert,1,1.36
ESO116-G012,burkert,1,0.78
D631-7,burkert,1,0.621
F568-V1,burkert,1,0.055
ESO079-G014,burkert,1,1.025
NGC0055,burkert,1,0.485
NGC0300,burkert,1,0.583
NGC0801,burkert,2,0.268
NGC0100,burkert,1,0.086
NGC0247,burkert,2,0.761
NGC2403,burkert,2,3.296
NGC2841,burkert,2,0.884
NGC1003,burkert,2,1.782
NGC2915,burkert,1,0.377
NGC2903,burkert,1,1.937
DDO161,burkert,1,0.26
NGC3726,burkert,2,2.093
NGC0891,burkert,1,2.761
NGC3877,burkert,1,0.792
NGC3769,burkert,1,0.627
NGC2976,burkert,1,0.261
NGC1090,burkert,2,1.383
NGC2683,burkert,1,0.692
NGC3741,burkert,2,0.271
NGC3521,burkert,2,0.096
NGC3949,burkert,1,0.419
NGC3893,burkert,1,0.358
NGC3972,burkert,1,0.805
NGC4051,burkert,1,0.62
NGC4138,burkert,1,0.69
NGC3953,burkert,1,0.185
NGC3198,burkert,2,0.645
NGC0289,burkert,2,1.89
NGC2998,burkert,2,0.676
NGC3917,burkert,1,0.638
NGC4010,burkert,1,1.497
NGC3109,burkert,1,0.149
NGC5055,burkert,1,9.53
NGC4100,burkert,1,0.614
NGC5033,burkert,1,2.477
NGC5585,burkert,2,3.413
NGC6015,burkert,2,3.781
NGC4088,burkert,1,0.597
NGC4559,burkert,1,0.247
NGC5985,burkert,2,1.533
NGC6503,burkert,2,1.48
NGC5005,burkert,1,0.031
NGC4217,burkert,1,0.608
UGC02259,burkert,2,0.32
NGC5371,burkert,3,1.167
NGC4013,burkert,2,0.719
UGC00731,burkert,2,0.084
UGC00128,burkert,2,2.585
NGC4183,burkert,1,0.385
NGC6674,burkert,3,1.676
NGC7814,burkert,1,0.72
UGC04325,burkert,1,0.412
UGC02953,burkert,2,4.016
UGC02916,burkert,1,3.022
NGC3992,burkert,1,0.719
NGC6195,burkert,2,0.567
NGC6946,burkert,1,1.193
NGC7331,burkert,1,0.47
UGC03205,burkert,2,1.553
UGC02885,burkert,3,0.863
UGC04278,burkert,2,0.379
UGC05986,burkert,1,0.88
UGC05253,burkert,2,1.203
UGC05721,burkert,1,0.394
NGC4157,burkert,1,0.274
UGC06446,burkert,1,0.45
UGC06923,burkert,1,0.492
UGC06818,burkert,1,1.328
UGC04499,burkert,1,0.243
UGC03546,burkert,1,1.203
UGC05005,burkert,1,0.014
UGC06787,burkert,2,21.854
UGC06399,burkert,1,0.047
UGC03580,burkert,1,2.832
UGC07261,burkert,1,0.381
UGC07151,burkert,1,0.912
UGC06614,burkert,1,0.132
UGC07690,burkert,1,0.111
UGC07399,burkert,2,0.117
UGC06930,burkert,1,0.179
UGC06786,burkert,2,0.774
UGC05716,burkert,2,0.935
UGC06667,burkert,1,0.095
NGC5907,burkert,3,3.019
UGC06917,burkert,1,0.197
UGC10310,burkert,1,0.094
UGC07603,burkert,1,0.204
UGC08286,burkert,2,0.664
UGC07125,burkert,1,0.248
UGC08699,burkert,2,0.54
UGC07524,burkert,1,0.237
UGC08550,burkert,2,0.442
UGC11455,burkert,2,1.619
DDO064,nfw,2,0.683
D631-7,nfw,2,4.824
UGC06983,burkert,1,0.424
