galaxy,n_pts,rmax,N_capped,chi2red_capped,tier_a
DDO170,8,12.33,1,1.685,4.16
ESO563-G021,27,42.41,1,6.723,8.72
KK98-251,15,3.13,1,0.31,3.13
D631-7,15,7.19,1,0.596,7.19
IC2574,34,10.23,1,1.317,10.23
IC4202,29,25.9,1,3.167,6.56
F583-1,25,16.26,1,0.195,4.59
F571-V1,7,13.59,1,0.031,5.44
F574-1,14,12.6,1,0.094,3.54
F568-V1,15,17.63,1,0.054,2.99
NGC0024,29,11.27,2,0.237,1.03;10.76
NGC0247,26,14.54,2,0.867,1.79;13.90
DDO154,12,5.92,1,0.689,2.58
DDO168,10,4.12,1,4.346,3.83
NGC0289,28,71.12,2,1.89,2.55;24.55
DDO064,14,2.98,1,0.341,1.91
ESO116-G012,15,9.86,1,0.78,3.64
NGC2683,11,34.62,1,0.692,3.97
NGC2403,73,20.87,2,3.295,0.49;5.92
F571-8,9,15.55,1,1.33,8.16
NGC2976,24,2.27,1,0.348,2.27
NGC1003,36,30.24,2,1.847,3.28;28.89
NGC0055,21,13.5,1,0.483,6.80
NGC0300,25,11.8,1,0.583,3.79
ESO079-G014,15,16.67,1,1.024,8.03
NGC2903,29,24.96,1,1.937,6.77
NGC0100,21,9.62,1,0.086,4.74
NGC2915,28,10.04,1,0.376,2.03
NGC3877,11,11.35,1,1.947,2.61
NGC1090,22,30.09,2,1.39,4.76;28.82
NGC3949,7,7.07,1,0.455,7.07
NGC2841,50,63.64,2,1.077,3.52;60.63
NGC0801,11,59.82,2,0.967,1.96;56.93
NGC3953,8,15.68,1,0.188,3.50
NGC3726,12,32.52,2,2.391,5.45;31.17
NGC3769,11,37.16,1,0.627,6.53
NGC3992,9,46.02,1,2.277,9.19
NGC3893,10,19.05,1,0.353,5.13
NGC4051,7,12.19,1,0.619,2.90
NGC0891,14,17.11,1,2.739,12.01
NGC4138,7,18.58,1,0.691,2.61
NGC2998,13,42.28,2,0.656,0.60;14.63
NGC4088,9,21.48,1,0.917,21.48
NGC3917,16,14.86,1,0.637,4.61
NGC3521,41,17.74,2,0.099,0.51;11.95
NGC3198,40,44.08,2,0.721,5.54;42.15
NGC3972,10,8.72,1,0.786,3.90
NGC4100,24,22.76,1,0.613,3.74
NGC4013,36,31.01,2,1.04,5.49;29.73
NGC5005,13,11.47,1,0.031,11.47
NGC5033,20,44.59,1,2.474,7.33
NGC3741,21,7.0,2,0.271,0.42;4.26
NGC5055,22,54.59,1,9.529,15.64
NGC4157,15,29.61,1,0.273,15.86
NGC5371,19,46.24,2,2.856,1.45;44.00
DDO161,31,13.37,1,0.259,7.39
NGC6015,44,29.23,2,3.774,1.47;19.26
NGC6195,20,36.43,2,0.867,2.34;34.73
NGC5585,24,10.96,2,3.126,0.09;4.91
NGC5985,33,34.72,2,1.976,3.54;33.16
NGC4183,23,21.02,1,0.384,3.44
NGC5907,19,50.33,2,5.795,5.03;48.06
NGC4559,32,20.97,1,0.246,7.01
NGC3109,25,6.45,1,0.149,4.68
NGC4010,12,10.47,1,1.46,6.88
