galaxy,rmin,rmax,n,p0_in,a_in,p0_out,a_out,ratio_a,drop_logrho,sd_in,sd_out,in_unconstrained,out_unconstrained,in_railed
IC2574,0.85,10.23,34,6.759034457512859,2.832109463462889,6.284559658211187,89.55916487284527,31.622776601063684,0.4744747993016727,7.211144492709677,8.236669693399488,False,True,False
NGC0024,0.21,11.27,29,8.749821655992475,1.09660832364941,6.456405802493375,34.67780002728224,31.622776591625495,2.2934158534991003,8.789873194002904,7.996457340365667,False,True,False
NGC0247,1.08,14.54,26,7.885172203476495,1.9344381466880267,6.456918416578789,29.69604182537832,15.3512490829553,1.4282537868977059,8.17172705126778,7.929616982799878,False,True,False
NGC0289,1.5,71.12,28,8.259312574811098,2.550715473844844,6.371230990896883,24.519290513645327,9.61271092956752,1.8880815839142144,8.6659745916213,7.760738890247881,False,False,False
NGC0801,1.96,59.82,11,8.992816138901729,1.2273204422170534,6.231332073000151,38.811280162909625,31.62277660168378,2.761484065901578,9.081774106777491,7.820290040875914,True,False,False
NGC1003,1.25,30.24,36,7.55345381332803,3.64319071682605,5.932734497478455,41.44766744708295,11.376749302653083,1.6207193158495752,8.114935719979544,7.550234592235318,False,True,False
NGC1090,1.6,30.09,22,7.670697084994121,4.92932106671584,5.878827742074767,36.941465233754215,7.494229881513169,1.7918693429193535,8.363484191434877,7.446341859229724,False,True,False
NGC2403,0.16,20.87,73,8.914500464733077,0.491960408727156,7.515674228432809,5.946767939164708,12.087899419692569,1.398826236300268,8.60643061838829,8.289955219781149,False,False,False
NGC2841,3.44,63.64,50,8.56129889654183,3.7910594198442484,5.902171901556309,119.88382511744358,31.62277660168378,2.659126994985521,9.140059488013433,7.980932493027913,False,True,False
NGC2998,0.33,42.28,13,9.607717357494336,0.575571920192567,7.058600248630271,14.049161004285956,24.409045179941337,2.5491171088640643,9.367816955818517,8.206250638203143,False,False,False
NGC3198,1.28,44.08,40,7.60861114028003,5.781630038306402,5.218188717029619,182.8311950949462,31.622776601683505,2.3904224232504108,8.370661438361369,7.480239015110954,False,True,False
NGC3521,0.51,17.74,41,9.450256087832475,0.42266942615594083,7.36236398393825,11.230605750028113,26.570660319974653,2.087892103894225,9.07625692205376,8.412767165560325,True,False,False
