galaxy,n,N_best,chi2_1,bic_1,chi2_2,bic_2,bic_margin,chi2_gain,Galaxy,T,D,e_D,f_D,Inc,e_Inc,L36,e_L36,Reff,SBeff,Rdisk,SBdisk,MHI,RHI,Vflat,e_Vflat,Q,Ref,M_star,r_vir,M_halo,logM_star,logM_halo,logM_halo_per_star
DDO170,8,1,10.500581204023488,14.659464287383159,6.547361619231026,14.865127785950369,0.2056634985672101,3.9532195847924623,DDO170,10,15.4,4.62,1,66.0,7.0,0.543,0.03,3.03,9.39,1.95,73.93,0.735,9.14,60.0,1.6,2,"Be91,La90",271500000.0,68.39999999999999,57252999946.52294,8.433769833924865,10.757798247799466,2.324028413874601
IC2574,34,2,41.82065526075004,48.87337630998236,23.582184997127506,37.68762709559215,-11.185749214390214,18.23847026362253,IC2574,9,3.91,0.2,2,75.0,7.0,1.016,0.012,3.18,15.88,2.78,80.32,1.036,10.81,66.4,2.0,2,"Sa96,MC94",508000000.0,75.696,77597679598.03857,8.70586371228392,10.889848734752588,2.1839850224686668
IC4202,29,1,85.84830073241356,92.58289239238651,83.21213695350121,96.68132027344711,4.098427881060601,2.6361637789123478,IC4202,4,100.4,10.0,1,90.0,1.0,179.749,3.311,8.55,391.59,4.78,8888.53,12.326,32.13,242.6,11.0,1,SG06,89874500000.0,276.56399999999996,3784572996096.1743,10.9536364872814,12.578016886240198,1.6243803989587988
F583-1,25,1,4.503452552106487,10.941204201842888,4.503459191409887,17.37896249088269,6.437758289039801,-6.639303400390872e-06,F583-1,9,35.4,8.85,1,63.0,5.0,0.986,0.093,3.74,11.19,2.36,60.93,2.126,15.65,85.8,3.6,1,"KN08,dB96",493000000.0,97.81199999999998,167419623214.622,8.69284691927723,11.22380636019465,2.530959440917421
ESO563-G021,27,1,168.12818686167643,174.7198605936851,167.47533522140978,180.6586826854271,5.938822091741997,0.6528516402666469,ESO563-G021,4,60.8,9.1,1,83.0,3.0,311.177,2.579,10.59,429.37,5.45,6558.89,24.298,55.71,314.6,11.7,1,SG06,155588500000.0,358.644,8253167351802.295,11.191977493867602,12.91662065151034,1.7246431576427366
DDO064,14,1,4.132425717367579,9.410540376598096,3.4521158048988356,14.00834512335987,4.597804746761774,0.6803099124687435,DDO064,10,6.8,2.04,1,60.0,5.0,0.157,0.007,1.2,17.41,0.69,151.65,0.211,3.49,46.1,3.9,1,"dB02,Sw02",78500000.0,52.553999999999995,25968524414.60063,7.894869656745253,10.414447272817478,2.519577616072225
DDO168,10,1,36.3744370250833,40.9796072110714,36.37468379826835,45.58502417024454,4.605416959173141,-0.00024677318504728873,DDO168,10,4.25,0.21,2,63.0,6.0,0.191,0.005,1.29,18.23,1.02,92.22,0.413,4.3,53.4,1.9,2,"Sa96,Br92",95500000.0,60.87599999999999,40361590119.30033,7.980003371583746,10.605968267734204,2.6259648961504576
F571-V1,7,1,0.15844234703439866,4.050262645145025,0.1584425261807006,7.942083122401954,3.8918204772569283,-1.7914630193183179e-07,F571-V1,7,80.1,8.0,1,30.0,10.0,1.849,0.267,4.38,15.3,2.47,64.39,1.217,10.1,83.6,3.5,2,"dB97,dB96",924500000.0,95.304,154868584518.1601,8.965906915495191,11.189963328965584,2.224056413470393
NGC0024,29,2,22.497884919139256,29.232476579112205,4.055766539299648,17.524949859245545,-11.70752671986666,18.44211837983961,NGC0024,5,7.3,0.36,2,64.0,3.0,3.889,0.036,2.01,151.65,1.34,1182.58,0.676,7.29,106.3,7.9,1,"Di08,Ch06",1944500000.0,121.182,318378909016.92896,9.28880794748348,11.502944290218425,2.214136342734946
DDO154,12,1,7.474706433956284,12.444519733532285,7.474728721399229,17.41435532055123,4.969835587018945,-2.2287442945412295e-05,DDO154,10,4.04,0.2,2,64.0,3.0,0.053,0.002,0.65,19.99,0.37,71.26,0.275,4.96,47.0,1.0,2,"Be91,CB89",26500000.0,53.58,27519343580.777096,7.423245873936808,10.439638070455686,3.0163921965188782
