galaxy,n_pts,rmax,N_capped,chi2red_capped,tier_a,key,NAME,HETNAME,SELECTED,RA,DEC,DDIST,DISTERR,MBH,DMBH,UPPERLIMIT,SIG,DSIG,LK,DLK,R50,DR50,LKOR,DLKOR,C28,DC28,LAGN,DLAGN,CR50LK,CR50C28,CLKC28,CLKORC28,TYPE,REF,HETMGSSIG,HETMGSDSIG
NGC0289,28,71.12,2,1.89,2.55;24.55,NGC289,b'NGC0289       ',b'NGC0289       ',1,13.17652,-31.20583,17.08,1.708,7.3756,0.2965,1.0,2.0345,0.0464,10.595875,0.0837683,0.3525043,0.0440675,10.243374,0.0431037,3.0289414,0.234348,-10.222034,6.7e-06,0.0035506,-0.0009138,-0.0036405,-0.0027266,b'gas   ',b'beifiori12                      ',-1234.0,-1234.0
NGC0300,25,11.8,1,0.583,3.79,NGC300,b'NGC0300       ',b'NGC0300       ',-3,-1234.0,-1234.0,2.2,0.22,2.0,3.0,1.0,1.1087,0.0673,9.445591,0.0,0.3030127,0.0,-1234.0,,-1234.0,,-1234.0,,-1234.0,-1234.0,-1234.0,-1234.0,b'star  ',b'neumayer12                      ',-1234.0,-1234.0
NGC2903,29,24.96,1,1.937,6.77,NGC2903,b'NGC2903       ',b'NGC2903       ',1,143.04213,21.50083,10.45,1.045,7.0603,0.2821,1.0,1.9695,0.0562,11.056545,0.1231739,0.731873,0.1057392,10.324672,0.0447724,3.3260937,0.3360921,-10.650813,4.8e-06,0.012174,0.0300077,0.0276801,-0.0023277,b'gas   ',b'beifiori12                      ',75.2,8.4
NGC3953,8,15.68,1,0.188,3.50,NGC3953,b'NGC3953       ',b'NGC3953       ',1,178.45428,52.32654,15.4,1.54,7.3323,0.2909,0.0,2.1089,0.01,11.045343,0.0968278,0.8693009,0.0890501,10.176044,0.0532683,4.6886883,0.4492996,-10.313114,1.05e-05,0.007234,0.0333153,0.0194978,-0.0138176,b'gas   ',b'beifiori12                      ',123.9,5.1
NGC3992,9,46.02,1,2.277,9.19,NGC3992,b'NGC3992       ',b'NGC3992       ',1,179.39993,53.37452,15.31,1.531,7.5149,0.2844,0.0,2.0903,0.0626,11.148371,0.1176991,1.070427,0.1264963,10.077946,0.0591959,4.2613926,0.5495391,-10.31818,9.6e-06,0.0131751,0.0586548,0.0433425,-0.0153124,b'gas   ',b'beifiori12                      ',137.6,5.0
NGC4051,7,12.19,1,0.619,2.90,NGC4051,b'NGC4051       ',b'NGC4051       ',1,180.79036,44.53126,10.0216,1.0022,6.0977,0.2514,0.0,1.9491,0.0146,10.279208,0.0769958,0.5982497,0.040704,9.680957,0.0395182,3.4910636,0.2464418,9.28277,0.0052231,0.0030117,0.0018641,0.0003132,-0.0015508,b'reverb',b'denney09a                       ',83.0,13.4
NGC4088,9,21.48,1,0.917,21.48,NGC4088,b'NGC4088       ',b'NGC4088       ',1,181.39246,50.53903,11.85,1.185,6.7922,0.287,1.0,1.9326,0.0193,10.496685,0.0849814,0.5527244,0.0431372,9.94396,0.0432731,3.2040577,0.1019264,-10.540404,0.0,0.0036051,0.001003,0.0013591,0.0003561,b'gas   ',b'beifiori12                      ',72.9,14.1
NGC5005,13,11.47,1,0.031,11.47,NGC5005,b'NGC5005       ',b'NGC5005       ',1,197.73463,37.05894,14.65,1.465,8.2733,0.2319,0.0,2.2968,0.0153,11.104998,0.0927454,0.5426155,0.0576486,10.562389,0.0438835,4.9840684,0.1608269,-10.355239,8.6e-06,0.0049996,0.00438,0.0037209,-0.0006591,b'gas   ',b'beifiori12                      ',213.9,6.6
NGC5055,22,54.59,1,9.529,15.64,NGC5055,b'NGC5055       ',b'NGC5055       ',1,198.95554,42.02929,8.7,0.87,8.9183,0.0987,0.0,2.0038,0.0215,11.133198,0.1046834,0.7715538,0.0923485,10.361647,0.0506883,4.727478,0.4526939,-10.809126,9.6e-06,0.0084588,0.0356088,0.0244057,-0.011203,b'gas   ',b'blais-ouellette04               ',-1234.0,-1234.0
NGC6503,31,23.5,2,1.48,3.32;22.49,NGC6503,b'NGC6503       ',b'NGC6503       ',1,267.36047,70.14434,5.27,0.527,6.301,0.1139,1.0,1.7439,0.0217,9.917273,0.0953592,0.1991166,0.0621806,9.718154,0.0449706,3.626975,0.5885679,-11.246325,1.34e-05,0.0054687,0.0236457,0.0275851,0.0039394,b'star  ',b'kormendy10                      ',28.2,25.3
NGC7331,28,36.31,1,0.47,23.26,NGC7331,b'NGC7331       ',b'NGC7331       ',1,339.2671,34.41592,12.23,1.223,8.0215,0.1826,0.0,2.0634,0.0154,11.136643,0.1008793,0.571277,0.0823743,10.565364,0.0508877,4.635268,0.4046924,-10.519044,4.8e-06,0.0071863,0.0277913,0.019223,-0.0085683,b'gas   ',b'beifiori12                      ',131.0,4.6
