#    Radius    Radius     Vsys      Vrot      Vexp       P.A.     Incl.   Xcenter   Ycenter
#    [pix]     [arcs]    [KM/S]    [KM/S]    [KM/S]     [deg]     [deg]    [pix]     [pix] 
      0.94     15.00    132.80     27.25      0.00    124.05     60.00     77.00     77.00
      2.81     45.00    132.80     50.12      0.00    125.60     60.00     77.00     77.00
      4.69     75.00    132.80     65.78      0.00    123.34     60.00     77.00     77.00
      6.56    105.00    132.80     76.46      0.00    123.32     60.00     77.00     77.00
      8.44    135.00    132.80     84.26      0.00    122.43     60.00     77.00     77.00
     10.31    165.00    132.80     90.38      0.00    122.43     60.00     77.00     77.00
     12.19    195.00    132.80     97.81      0.00    123.06     60.00     77.00     77.00
     14.06    225.00    132.80    105.48      0.00    123.32     60.00     77.00     77.00
     15.94    255.00    132.80    110.38      0.00    124.42     60.00     77.00     77.00
     17.81    285.00    132.80    114.79      0.00    125.12     60.00     77.00     77.00
     19.69    315.00    132.80    117.63      0.00    126.12     60.00     77.00     77.00
     21.56    345.00    132.80    118.89      0.00    126.36     60.00     77.00     77.00
     23.44    375.00    132.80    119.31      0.00    126.20     60.00     77.00     77.00
     25.31    405.00    132.80    119.22      0.00    125.84     60.00     77.00     77.00
     27.19    435.00    132.80    119.95      0.00    125.26     60.00     77.00     77.00
     29.06    465.00    132.80    121.11      0.00    125.10     60.00     77.00     77.00
     30.94    495.00    132.80    122.61      0.00    125.14     60.00     77.00     77.00
     32.81    525.00    132.80    123.91      0.00    125.21     60.00     77.00     77.00
     34.69    555.00    132.80    124.02      0.00    125.10     60.00     77.00     77.00
     36.56    585.00    132.80    124.16      0.00    124.59     60.00     77.00     77.00
     38.44    615.00    132.80    124.54      0.00    124.32     60.00     77.00     77.00
     40.31    645.00    132.80    125.30      0.00    124.08     60.00     77.00     77.00
     42.19    675.00    132.80    126.56      0.00    124.00     60.00     77.00     77.00
     44.06    705.00    132.80    127.75      0.00    123.94     60.00     77.00     77.00
     45.94    735.00    132.80    129.97      0.00    124.22     60.00     77.00     77.00
     47.81    765.00    132.80    131.42      0.00    124.32     60.00     77.00     77.00
     49.69    795.00    132.80    132.74      0.00    124.34     60.00     77.00     77.00
     51.56    825.00    132.80    132.36      0.00    124.52     60.00     77.00     77.00
     53.44    855.00    132.80    132.34      0.00    123.85     60.00     77.00     77.00
     55.31    885.00    132.80    131.92      0.00    123.61     60.00     77.00     77.00
     57.19    915.00    132.80    131.60      0.00    123.89     60.00     77.00     77.00
     59.06    945.00    132.80    132.80      0.00    123.92     60.00     77.00     77.00
     60.94    975.00    132.80    133.44      0.00    123.42     60.00     77.00     77.00
     62.81   1005.00    132.80    133.59      0.00    123.32     60.00     77.00     77.00
     64.69   1035.00    132.80    134.21      0.00    123.52     60.00     77.00     77.00
     66.56   1065.00    132.80    134.34      0.00    123.42     60.00     77.00     77.00
     68.44   1095.00    132.80    133.98      0.00    122.82     60.00     77.00     77.00
     70.31   1125.00    132.80    133.54      0.00    122.73     60.00     77.00     77.00
     72.19   1155.00    132.80    134.23      0.00    122.50     60.00     77.00     77.00
     74.06   1185.00    132.80    134.58      0.00    122.19     60.00     77.00     77.00
