disk pa,disk el,xcen,ycen
  1.6104E+02,  5.8282E-01,  5.0294E+02,  5.1679E+02
  1.6107E+02,  6.2407E-01,  5.0580E+02,  5.1318E+02
  1.5988E+02,  6.4252E-01,  5.0338E+02,  5.1467E+02
  1.6101E+02,  6.1778E-01,  5.0722E+02,  5.1623E+02
  1.6091E+02,  6.2850E-01,  5.0308E+02,  5.1277E+02
  1.6028E+02,  5.9759E-01,  5.0662E+02,  5.1510E+02
  1.6048E+02,  5.9968E-01,  5.0270E+02,  5.1404E+02
  1.6046E+02,  6.4593E-01,  5.0335E+02,  5.1639E+02
  1.5965E+02,  6.4603E-01,  5.0364E+02,  5.1667E+02
  1.6031E+02,  6.3499E-01,  5.0606E+02,  5.1426E+02
  1.6154E+02,  6.4511E-01,  5.0583E+02,  5.1750E+02
  1.6017E+02,  6.3951E-01,  5.0371E+02,  5.1662E+02
  1.6080E+02,  6.1839E-01,  5.0361E+02,  5.1372E+02
  1.6110E+02,  6.2696E-01,  5.0559E+02,  5.1237E+02
  1.6037E+02,  6.0499E-01,  5.0263E+02,  5.1394E+02
  1.6072E+02,  5.9503E-01,  5.0565E+02,  5.1572E+02
  1.6078E+02,  6.0996E-01,  5.0390E+02,  5.1244E+02
  1.6086E+02,  6.0375E-01,  5.0616E+02,  5.1466E+02
  1.6044E+02,  6.3864E-01,  5.0497E+02,  5.1319E+02
  1.6075E+02,  5.8889E-01,  5.0711E+02,  5.1637E+02
  1.6075E+02,  5.9433E-01,  5.0626E+02,  5.1448E+02
  1.5955E+02,  6.3334E-01,  5.0426E+02,  5.1761E+02
  1.6012E+02,  6.3569E-01,  5.0530E+02,  5.1303E+02
  1.6085E+02,  6.2476E-01,  5.0404E+02,  5.1624E+02
  1.6012E+02,  6.1968E-01,  5.0499E+02,  5.1271E+02
  1.6028E+02,  5.9776E-01,  5.0508E+02,  5.1322E+02
  1.6125E+02,  6.4921E-01,  5.0491E+02,  5.1478E+02
  1.6029E+02,  5.8095E-01,  5.0563E+02,  5.1528E+02
  1.6167E+02,  5.9442E-01,  5.0349E+02,  5.1640E+02
  1.6105E+02,  6.2496E-01,  5.0695E+02,  5.1586E+02
  1.6079E+02,  6.4468E-01,  5.0433E+02,  5.1290E+02
  1.5937E+02,  6.2983E-01,  5.0431E+02,  5.1578E+02
  1.6053E+02,  6.4437E-01,  5.0308E+02,  5.1390E+02
  1.6067E+02,  5.8415E-01,  5.0525E+02,  5.1386E+02
  1.6090E+02,  6.3814E-01,  5.0485E+02,  5.1279E+02
  1.6042E+02,  6.3087E-01,  5.0373E+02,  5.1319E+02
  1.6025E+02,  6.1638E-01,  5.0570E+02,  5.1351E+02
  1.6031E+02,  6.4103E-01,  5.0417E+02,  5.1349E+02
  1.6095E+02,  6.4026E-01,  5.0637E+02,  5.1515E+02
  1.6018E+02,  6.1698E-01,  5.0281E+02,  5.1377E+02
  1.6073E+02,  5.9155E-01,  5.0325E+02,  5.1718E+02
  1.6014E+02,  6.2980E-01,  5.0567E+02,  5.1336E+02
  1.6065E+02,  6.3331E-01,  5.0425E+02,  5.1353E+02
  1.6112E+02,  5.8444E-01,  5.0315E+02,  5.1758E+02
  1.6088E+02,  6.1769E-01,  5.0326E+02,  5.1352E+02
  1.6055E+02,  6.4628E-01,  5.0459E+02,  5.1321E+02
  1.6104E+02,  6.1714E-01,  5.0702E+02,  5.1629E+02
  1.6099E+02,  6.3739E-01,  5.0313E+02,  5.1452E+02
  1.6009E+02,  6.5151E-01,  5.0313E+02,  5.1492E+02
  1.6154E+02,  6.3942E-01,  5.0465E+02,  5.1495E+02
  1.6071E+02,  6.1106E-01,  5.0405E+02,  5.1318E+02
  1.6137E+02,  5.8747E-01,  5.0330E+02,  5.1775E+02
  1.6056E+02,  6.0102E-01,  5.0428E+02,  5.1268E+02
  1.6083E+02,  6.4162E-01,  5.0303E+02,  5.1367E+02
  1.6023E+02,  6.2480E-01,  5.0420E+02,  5.1601E+02
  1.6071E+02,  6.0851E-01,  5.0396E+02,  5.1241E+02
  1.5990E+02,  6.2538E-01,  5.0377E+02,  5.1420E+02
  1.6107E+02,  6.2400E-01,  5.0561E+02,  5.1302E+02
  1.6098E+02,  6.0230E-01,  5.0653E+02,  5.1485E+02
  1.6091E+02,  6.3018E-01,  5.0321E+02,  5.1304E+02
  1.6153E+02,  6.0458E-01,  5.0402E+02,  5.1762E+02
  1.6103E+02,  6.4051E-01,  5.0624E+02,  5.1473E+02
  1.6094E+02,  6.2459E-01,  5.0331E+02,  5.1280E+02
  1.6062E+02,  5.8965E-01,  5.0655E+02,  5.1554E+02
  1.6032E+02,  6.4537E-01,  5.0308E+02,  5.1408E+02
  1.6034E+02,  6.1008E-01,  5.0280E+02,  5.1511E+02
  1.6075E+02,  6.5622E-01,  5.0570E+02,  5.1520E+02
  1.6085E+02,  6.0808E-01,  5.0597E+02,  5.1389E+02
  1.6122E+02,  6.2085E-01,  5.0508E+02,  5.1250E+02
  1.6048E+02,  6.0035E-01,  5.0254E+02,  5.1374E+02
  1.6066E+02,  6.0174E-01,  5.0278E+02,  5.1428E+02
  1.6028E+02,  6.1368E-01,  5.0260E+02,  5.1349E+02
  1.5972E+02,  5.9551E-01,  5.0472E+02,  5.1480E+02
  1.6171E+02,  6.3637E-01,  5.0490E+02,  5.1632E+02
  1.6012E+02,  6.3651E-01,  5.0329E+02,  5.1430E+02
  1.5984E+02,  6.5435E-01,  5.0350E+02,  5.1522E+02
  1.6126E+02,  6.3962E-01,  5.0461E+02,  5.1436E+02
  1.6087E+02,  6.3316E-01,  5.0297E+02,  5.1338E+02
  1.6055E+02,  6.4939E-01,  5.0604E+02,  5.1397E+02
  1.6074E+02,  5.9074E-01,  5.0468E+02,  5.1342E+02
  1.6045E+02,  5.8814E-01,  5.0521E+02,  5.1375E+02
  1.6057E+02,  6.0098E-01,  5.0467E+02,  5.1316E+02
  1.6069E+02,  6.0484E-01,  5.0412E+02,  5.1274E+02
  1.6041E+02,  6.3942E-01,  5.0347E+02,  5.1356E+02
  1.6012E+02,  6.5580E-01,  5.0349E+02,  5.1732E+02
  1.6138E+02,  5.9695E-01,  5.0362E+02,  5.1751E+02
  1.6039E+02,  6.2957E-01,  5.0338E+02,  5.1452E+02
  1.6015E+02,  6.1795E-01,  5.0586E+02,  5.1355E+02
  1.6081E+02,  6.1466E-01,  5.0424E+02,  5.1521E+02
  1.6080E+02,  6.3520E-01,  5.0301E+02,  5.1344E+02
  1.6064E+02,  5.8304E-01,  5.0494E+02,  5.1367E+02
  1.6085E+02,  6.0114E-01,  5.0493E+02,  5.1560E+02
  1.6049E+02,  6.0310E-01,  5.0483E+02,  5.1257E+02
  1.6102E+02,  6.3952E-01,  5.0475E+02,  5.1256E+02
  1.6021E+02,  6.5513E-01,  5.0350E+02,  5.1730E+02
  1.6097E+02,  6.3649E-01,  5.0601E+02,  5.1356E+02
  1.6032E+02,  6.1911E-01,  5.0313E+02,  5.1485E+02
  1.6017E+02,  6.3361E-01,  5.0525E+02,  5.1274E+02
  1.6050E+02,  6.5343E-01,  5.0315E+02,  5.1518E+02
  1.6073E+02,  6.2015E-01,  5.0414E+02,  5.1543E+02
  1.6062E+02,  6.0420E-01,  5.0435E+02,  5.1288E+02
  1.6056E+02,  6.1558E-01,  5.0492E+02,  5.1528E+02
  1.6122E+02,  5.8433E-01,  5.0330E+02,  5.1747E+02
  1.6052E+02,  6.5034E-01,  5.0560E+02,  5.1578E+02
  1.6094E+02,  6.1098E-01,  5.0356E+02,  5.1297E+02
  1.6059E+02,  5.9838E-01,  5.0258E+02,  5.1426E+02
  1.5982E+02,  6.4976E-01,  5.0343E+02,  5.1501E+02
  1.6099E+02,  6.3183E-01,  5.0607E+02,  5.1407E+02
