#    Radius    Radius     Vsys      Vrot      Vexp       P.A.     Incl.   Xcenter   Ycenter
#    [pix]     [arcs]    [KM/S]    [KM/S]    [KM/S]     [deg]     [deg]    [pix]     [pix] 
     10.00     15.00    660.70     60.34      0.00    206.38     71.50    510.30    511.90
     30.00     45.00    660.70     99.09      0.00    211.84     71.50    510.30    511.90
     50.00     75.00    660.70    132.01      0.00    214.68     71.50    510.30    511.90
     70.00    105.00    660.70    142.70      0.00    216.34     71.50    510.30    511.90
     90.00    135.00    660.70    147.66      0.00    218.13     71.50    510.30    511.90
    110.00    165.00    660.70    152.61      0.00    218.10     71.50    510.30    511.90
    130.00    195.00    660.70    157.98      0.00    218.13     71.50    510.30    511.90
    150.00    225.00    660.70    160.05      0.00    218.06     71.50    510.30    511.90
    170.00    255.00    660.70    154.49      0.00    216.87     71.50    510.30    511.90
    190.00    285.00    660.70    153.17      0.00    216.59     71.50    510.30    511.90
    210.00    315.00    660.70    154.50      0.00    216.10     71.50    510.30    511.90
    230.00    345.00    660.70    152.93      0.00    215.13     71.50    510.30    511.90
    250.00    375.00    660.70    152.88      0.00    215.39     71.50    510.30    511.90
    270.00    405.00    660.70    147.50      0.00    215.10     71.50    510.30    511.90
    290.00    435.00    660.70    137.93      0.00    215.17     71.50    510.30    511.90
    310.00    465.00    660.70    141.71      0.00    215.14     71.50    510.30    511.90
    330.00    495.00    660.70    162.66      0.00    209.06     71.50    510.30    511.90
    350.00    525.00    660.70    146.25      0.00    210.71     71.50    510.30    511.90
    370.00    555.00    660.70    136.81      0.00    213.24     71.50    510.30    511.90
    390.00    585.00    660.70    132.71      0.00    214.66     71.50    510.30    511.90
    410.00    615.00    660.70    137.68      0.00    213.67     71.50    510.30    511.90
    430.00    645.00    660.70    149.36      0.00    215.95     71.50    510.30    511.90
    450.00    675.00       nan       nan       nan       nan       nan       nan       nan
    470.00    705.00       nan       nan       nan       nan       nan       nan       nan
