#    Radius    Radius     Vsys      Vrot      Vexp       P.A.     Incl.   Xcenter   Ycenter
#    [pix]     [arcs]    [KM/S]    [KM/S]    [KM/S]     [deg]     [deg]    [pix]     [pix] 
     10.00     15.00    803.50     94.36      0.00    339.97     72.70    505.00    515.90
     30.00     45.00    803.50    182.20      0.00    340.68     72.70    505.00    515.90
     50.00     75.00    803.50    203.23      0.00    341.01     72.70    505.00    515.90
     70.00    105.00    803.50    215.67      0.00    342.89     72.70    505.00    515.90
     90.00    135.00    803.50    217.63      0.00    342.86     72.70    505.00    515.90
    110.00    165.00    803.50    217.61      0.00    344.12     72.70    505.00    515.90
    130.00    195.00    803.50    217.02      0.00    344.02     72.70    505.00    515.90
    150.00    225.00    803.50    208.63      0.00    342.77     72.70    505.00    515.90
    170.00    255.00    803.50    201.61      0.00    340.78     72.70    505.00    515.90
    190.00    285.00    803.50    202.55      0.00    340.25     72.70    505.00    515.90
    210.00    315.00    803.50    206.10      0.00    339.10     72.70    505.00    515.90
    230.00    345.00    803.50    205.40      0.00    338.51     72.70    505.00    515.90
    250.00    375.00    803.50    203.16      0.00    337.57     72.70    505.00    515.90
    270.00    405.00    803.50    200.05      0.00    337.19     72.70    505.00    515.90
    290.00    435.00    803.50    196.65      0.00    336.66     72.70    505.00    515.90
    310.00    465.00    803.50    198.70      0.00    336.14     72.70    505.00    515.90
    330.00    495.00    803.50    205.10      0.00    333.87     72.70    505.00    515.90
    350.00    525.00    803.50    208.95      0.00    332.94     72.70    505.00    515.90
    370.00    555.00    803.50    209.65      0.00    332.26     72.70    505.00    515.90
    390.00    585.00    803.50    286.82      0.00    324.05     72.70    505.00    515.90
    410.00    615.00    803.50    161.00      0.00    341.01     72.70    505.00    515.90
    430.00    645.00       nan       nan       nan       nan       nan       nan       nan
    450.00    675.00       nan       nan       nan       nan       nan       nan       nan
    470.00    705.00       nan       nan       nan       nan       nan       nan       nan
