#    Radius    Radius     Vsys      Vrot      Vexp       P.A.     Incl.   Xcenter   Ycenter
#    [pix]     [arcs]    [KM/S]    [KM/S]    [KM/S]     [deg]     [deg]    [pix]     [pix] 
      6.67     10.00    229.10      9.71      0.00     23.35     64.00    509.60    516.00
     20.00     30.00    229.10     20.90      0.00     49.15     64.00    509.60    516.00
     33.33     50.00    229.10     25.11      0.00     35.23     64.00    509.60    516.00
     46.67     70.00    229.10     26.98      0.00     31.44     64.00    509.60    516.00
     60.00     90.00    229.10     28.54      0.00     30.23     64.00    509.60    516.00
     73.33    110.00    229.10     30.55      0.00     31.46     64.00    509.60    516.00
     86.67    130.00    229.10     33.19      0.00     34.82     64.00    509.60    516.00
    100.00    150.00    229.10     36.78      0.00     40.71     64.00    509.60    516.00
    113.33    170.00    229.10     39.52      0.00     43.82     64.00    509.60    516.00
    126.67    190.00    229.10     43.21      0.00     44.92     64.00    509.60    516.00
    140.00    210.00    229.10     45.35      0.00     45.54     64.00    509.60    516.00
    153.33    230.00    229.10     50.31      0.00     51.08     64.00    509.60    516.00
    166.67    250.00    229.10     52.30      0.00     51.29     64.00    509.60    516.00
    180.00    270.00    229.10     54.26      0.00     52.43     64.00    509.60    516.00
    193.33    290.00    229.10     52.40      0.00     50.82     64.00    509.60    516.00
    206.67    310.00    229.10     47.42      0.00     44.91     64.00    509.60    516.00
    220.00    330.00    229.10     48.12      0.00     38.01     64.00    509.60    516.00
    233.33    350.00    229.10     81.50      0.00     67.52     64.00    509.60    516.00
    246.67    370.00    229.10     85.88      0.00    -45.49     64.00    509.60    516.00
    260.00    390.00    229.10     61.41      0.00     58.74     64.00    509.60    516.00
    273.33    410.00    229.10     91.89      0.00    -55.92     64.00    509.60    516.00
    286.67    430.00    229.10     39.99      0.00     43.97     64.00    509.60    516.00
    300.00    450.00       nan       nan       nan       nan       nan       nan       nan
