#    Radius    Radius     Vsys      Vrot      Vexp       P.A.     Incl.   Xcenter   Ycenter
#    [pix]     [arcs]    [KM/S]    [KM/S]    [KM/S]     [deg]     [deg]    [pix]     [pix] 
      6.67     10.00    229.10      9.35      0.00     22.43     64.00    509.60    516.00
     20.00     30.00    229.10     20.49      0.00     48.95     64.00    509.60    516.00
     33.33     50.00    229.10     24.34      0.00     36.10     64.00    509.60    516.00
     46.67     70.00    229.10     26.35      0.00     32.19     64.00    509.60    516.00
     60.00     90.00    229.10     28.07      0.00     31.03     64.00    509.60    516.00
     73.33    110.00    229.10     30.47      0.00     34.18     64.00    509.60    516.00
     86.67    130.00    229.10     33.28      0.00     37.38     64.00    509.60    516.00
    100.00    150.00    229.10     37.05      0.00     43.44     64.00    509.60    516.00
    113.33    170.00    229.10     40.11      0.00     38.06     64.00    509.60    516.00
    126.67    190.00    229.10     43.40      0.00     44.09     64.00    509.60    516.00
    140.00    210.00    229.10     44.49      0.00     42.66     64.00    509.60    516.00
    153.33    230.00    229.10     47.79      0.00     46.67     64.00    509.60    516.00
    166.67    250.00    229.10     49.67      0.00     49.37     64.00    509.60    516.00
    180.00    270.00    229.10     50.24      0.00     48.89     64.00    509.60    516.00
    193.33    290.00    229.10     51.90      0.00     48.14     64.00    509.60    516.00
    206.67    310.00    229.10     52.57      0.00     50.18     64.00    509.60    516.00
    220.00    330.00    229.10     50.20      0.00     47.01     64.00    509.60    516.00
    233.33    350.00    229.10     50.27      0.00     43.73     64.00    509.60    516.00
    246.67    370.00    229.10     56.49      0.00     50.43     64.00    509.60    516.00
    260.00    390.00    229.10     74.96      0.00     68.66     64.00    509.60    516.00
    273.33    410.00    229.10     65.46      0.00     59.96     64.00    509.60    516.00
    286.67    430.00    229.10    143.47      0.00    106.03     64.00    509.60    516.00
    300.00    450.00    229.10     35.93      0.00     37.28     64.00    509.60    516.00
